component	stdv	percent	cumulative
PC1	37.3654075939852	39.89	0.39891
PC2	22.902166618357	14.99	0.54877
PC3	19.7786766122365	11.18	0.66054
PC4	19.3173327502143	10.66	0.76715
PC5	16.8957969005742	8.16	0.84872
PC6	16.5538587257924	7.83	0.92701
PC7	15.9832254187785	7.3	1
PC8	1.80105369267022e-13	0	1
