Gene
DCX
DLX1
DLX2
DLX5
DLX6
ELAVL4
ENO2
GABBR2
GAD1
GAD2
GAP43
GATA2
GCHFR
GRIA4
LHX1
LRRC3B
LSAMP
LY6H
MAPT
NEFM
RBFOX3
SLC17A6
SLC18A3
SLC32A1
STMN2
SYT1
TMEFF2
