Protein_Group	Genes	P_value	treatment_estimate	control_estimate	log2FC	p.adj
Q9UKL0	RCOR1	2.21038246952286e-06	2427.88932291667	1020.46169026693	1.24906755972684	5.06919512599653e-06
Q7KZI7	MARK2	2.22414313993126e-06	17477.2189127604	705.229207356771	4.62919533444882	5.09410916118942e-06
Q13751	LAMB3	2.23343737093178e-06	10024.7788085938	2460.15275065104	2.02616429864402	5.11169493795746e-06
O75528	TADA3	2.24585002727719e-06	9470.18131510417	0	13.209176332309	5.13267603777294e-06
Q92747	ARPC1A	2.24463143250541e-06	4067.37084960938	1401.03084309896	1.53657844966283	5.13267603777294e-06
Q9P270	SLAIN2	2.25350933999213e-06	28516.1559244792	1382.85335286458	4.36501654106466	5.14646212447299e-06
Q15650	TRIP4	2.26123838417371e-06	36054.2711588542	520.987248738607	6.1100118031801	5.160387452483e-06
Q9UG63	ABCF2	2.26464575041207e-06	27006.1611328125	1496.60021972656	4.17256412163486	5.16443728086039e-06
O95714	HERC2	2.26829808628775e-06	9288.98958333333	1957.73783365885	2.24559736123958	5.16903951507791e-06
O75575	CRCP	2.27222240695541e-06	3914.07413736979	0	11.934455367301	5.17425448034553e-06
Q8IUD2	ERC1	2.27525608146344e-06	28360.630859375	1362.30920410156	4.37870491102126	5.17743524148838e-06
P48729	CSNK1A1	2.29276122623512e-06	30481.2799479167	2348.17346191406	3.69769833436228	5.21351815857776e-06
P08047	SP1	2.30831520372864e-06	4801.77018229167	50.3079223632813	6.54824093915391	5.24511565330007e-06
P31930	UQCRC1	2.32351636917409e-06	3303.98107910156	396.958028157552	3.05351723917797	5.27586667314977e-06
P30876	POLR2B	2.33358800325295e-06	11049.0260416667	2544.01703898112	2.11817198305034	5.28395773897722e-06
P56270	MAZ	2.33376192265292e-06	17407.3279622396	793.351114908854	4.45377411416809	5.28395773897722e-06
Q86TG7	PEG10	2.33260834707826e-06	11727.0867513021	805.559127807617	3.86192055326635	5.28395773897722e-06
Q93096	PTP4A1	2.32999314090254e-06	5545.03470865886	386.108581542969	3.84038629563043	5.28395773897722e-06
Q9H694	BICC1	2.34639893257563e-06	5004.90409342448	414.954182942708	3.58884589325523	5.30876954487604e-06
Q13247	SRSF6	2.35395804381496e-06	159583.033854167	12085.3170572917	3.72286068029385	5.32046996297178e-06
Q9NP64	ZCCHC17	2.35493453941211e-06	98569.6158854167	3320.7861328125	4.89111190784363	5.32046996297178e-06
P43307	SSR1	2.36556082942611e-06	50996.439453125	4664.97021484375	3.45014751928617	5.34066302888993e-06
