component	stdv	percent	cumulative
PC1	64.9558034028794	44.28	0.44283
PC2	40.6926854423937	17.38	0.61662
PC3	32.8612962417402	11.33	0.72996
PC4	31.2936919299532	10.28	0.83274
PC5	25.8604077094591	7.02	0.90293
PC6	21.6345888470569	4.91	0.95205
PC7	21.3745851187352	4.8	1
PC8	7.22845054367491e-13	0	1
