Protein_Group	Genes	P_value	treatment_estimate	control_estimate	log2FC	p.adj
A0A024R4E5	HDLBP	5.03103004530397e-05	126990.714866667	223675.1515	-0.816688427640576	0.000888299225555474
A0A087WTQ6;F8W6X9;Q7Z5N4	SDK1	2.13522873472024e-05	42286.804035	16277.7407526944	1.37721842426568	0.000888299225555474
A0A087WTW0;A0A087WVR3;Q96T88	UHRF1	4.04888827703181e-05	48362.73112	228247.735034444	-2.23863924147242	0.000888299225555474
A0A087WWF6;P49005	POLD2	5.3622164514636e-05	4129.46614566667	23673.4517152222	-2.51930382594645	0.000888299225555474
A0A087WY08;Q9UPZ6	THSD7A	3.10977863155761e-05	52605.81771	19720.1908711278	1.41547568488005	0.000888299225555474
A0A087WYF7;Q6UXV4	APOOL	3.10395349234765e-05	25761.99284	14730.2590338889	0.806363460419612	0.000888299225555474
A0A087WZV0;O43314	PPIP5K2	5.36967178346596e-05	46100.4889333333	34688.1999788889	0.410295482901013	0.000888299225555474
A0A087X165;Q9C0H9	SRCIN1	3.08444556000448e-05	35345.4176433333	14672.0965880556	1.26834982164292	0.000888299225555474
A0A087X210;P56373	P2RX3	2.36596296076328e-05	79258.2291666667	28690.4485948889	1.46593992434625	0.000888299225555474
A0A096LNV3;A0A096LP02;Q9Y508	RNF114	4.10283578486403e-05	39016.0208333333	99463.4244833333	-1.35011396023744	0.000888299225555474
A0A0A0MR39;Q9P2K5	MYEF2	3.79553960677629e-05	378817.567733333	205995.598537778	0.878882722101827	0.000888299225555474
A0A0A0MRS5;A0A0C4DG97;F8W946;Q9BXM9	FSD1L	2.23235832478953e-05	41302.2460916667	15356.2821801278	1.42729731917755	0.000888299225555474
A0A0A0MRU0;A0A0C4DH75;A0A0D9SFF8;B4DZ84;D3DX48;D3DX49;Q14168	MPP2	2.01638222233648e-05	53827.5279966667	22353.1523171111	1.2678013327479	0.000888299225555474
A0A0A0MRX1;Q12926	ELAVL2	5.04542205855952e-05	390469.812516667	187846.321293333	1.05565047369097	0.000888299225555474
A0A0A0MS29	MFF	3.66626286291863e-05	12970.0481766667	4839.81658412778	1.42186150099905	0.000888299225555474
A0A0A0MT26;A0A2R8YEY8;M0R116;P13637	ATP1A3;;ATP1A3;ATP1A3	2.13434673106655e-05	1414948	794712.9514	0.832241457682714	0.000888299225555474
A0A0A0MT40;H3BUD4;Q15111	PLCL1	5.01089052243277e-05	17356.1570633333	6815.652184635	1.3483122694625	0.000888299225555474
A0A0A6YYJ0;Q8IYR6	MSANTD3-TMEFF1;TMEFF1	2.03080438352167e-05	104684.09637	37490.7419218111	1.48139752233827	0.000888299225555474
A0A0B4J253;Q8N394	TMTC2	3.40854561721977e-05	30407.530925	13357.147556	1.18670871943449	0.000888299225555474
A0A0B4J2G4;Q15345	LRRC41	3.81980629162857e-05	9662.86474583333	17605.5944541667	-0.865593010821719	0.000888299225555474
A0A0C4DG89;Q7L014	DDX46	3.25045325000587e-05	194984.601566667	303652.259566667	-0.639064660733205	0.000888299225555474
A0A0C4DGB6;H0YA55;P02768	ALB	2.19782246846888e-05	4726040	1615876.29253556	1.54831419396405	0.000888299225555474
A0A0C4DGH0;Q5ZPR3	CD276	3.70548643639443e-05	115800.563816667	68541.0952738889	0.756580078012416	0.000888299225555474
A0A0D9SEU5;Q6VN20;R4GMX8	RANBP10	3.43752610944299e-05	5876.76407883333	9895.57435366667	-0.751907247549882	0.000888299225555474
A0A0D9SF28;F5GXV7;Q5T321;Q8NFP9	NBEA	2.53465346356315e-05	57332.91862	28016.595378	1.03303058233736	0.000888299225555474
A0A0D9SG72;P61764	STXBP1	5.00000796171147e-05	97958.8763133333	45159.2836146667	1.11712167831363	0.000888299225555474
A0A0D9SGJ6;J3KQV8;O43426	SYNJ1	2.81810711628042e-05	35035.4817716667	15722.0444035056	1.15593614568066	0.000888299225555474
A0A0G2JIR1;A0A0G2JIS2;A2ABF8	EHMT2	4.75261141112163e-05	18198.42513	28247.2077911111	-0.634345731857628	0.000888299225555474
A0A0G2JKF9;A0A140TA42;Q9UBS5	GABBR1	2.20101188870599e-05	30660.3300783333	10356.5477719611	1.56569075417484	0.000888299225555474
A0A0G2JLG2;Q9UPP2	IQSEC3	2.89266973177454e-05	5693.78173833333	2257.68158638889	1.33390628711861	0.000888299225555474
A0A0J9YWE1;A0A0J9YWN0	EPB41L3	4.64712434149812e-05	21887.1204433333	7408.04523746111	1.56272261278414	0.000888299225555474
A0A0R4J2E6;A0A494C015;A0A494C0F8;A0A494C147;B1APY9;P26378	ELAVL4	2.49009808995166e-05	77902.8398466667	29642.8013248889	1.39394545964592	0.000888299225555474
A0A0R4J2G7;A0A1D5RMU6;E7ERL8;Q9ULB1	NRXN1	4.96759959554667e-05	12785.3245433333	4911.54321084445	1.37994677997035	0.000888299225555474
A0A0U1RRM4;P26599	PTBP1	5.33704064737937e-05	439005.281266667	965550.965283333	-1.1371156104363	0.000888299225555474
A0A140LJL2;Q8N350	CBARP	3.26028576551704e-05	43640.49935	18748.9779191111	1.21877871296049	0.000888299225555474
A0A1B0GUN5	PLEKHA6	3.19667984384324e-05	69999.1881533333	34129.3688702778	1.03628218314361	0.000888299225555474
A0A1B0GWD1;A8K340;O43602	DCX	3.31367027204732e-05	1201432.3125	489577.013739889	1.29514469556295	0.000888299225555474
A0A1C7CYX9	DPYSL2	3.34502802536099e-05	2614834.29166667	1492636.81597222	0.808855379945572	0.000888299225555474
A0A1C7CYY3;A0A2R8Y5P1;A0A2R8Y6K6;A0A2R8YD64;Q9H902	REEP1	2.38121341902848e-05	90814.8398533333	32659.5393208333	1.47537945020246	0.000888299225555474
A0A1W2PQ11;A0A1W2PQ86;Q02246	CNTN2	2.15734684721645e-05	305992.153666667	106716.901489389	1.51969245679053	0.000888299225555474
A0A2R8Y2A8;A0A5F9UJV3;Q13367	AP3B2	3.32965253345193e-05	71268.0911483333	44359.2805994444	0.683987792349582	0.000888299225555474
A0A2U3TZM4;A0A2U3TZN6	CASK	3.59712226989962e-05	247076.333366667	142908.462906667	0.789855377018938	0.000888299225555474
A0A3B3IT56	SORBS1	4.33652996666493e-05	9389.103759	3129.701253	1.58450160541873	0.000888299225555474
A0A3B3IT92;A0A3B3IU45;P33991	MCM4	2.83971042805204e-05	41590.2981766667	264580.036908889	-2.66939073090662	0.000888299225555474
A0A3B3IU48;Q8NFP4	MDGA1	2.97833227120307e-05	33547.9886066667	13878.3674101112	1.27328445655163	0.000888299225555474
A0A3B3IUD7;Q14690	PDCD11	3.72004187585118e-05	362594.161483333	617151.269105556	-0.767270792506554	0.000888299225555474
A0A494BZW7;A0A494C0K5;A0A494C0P9;A0A494C0Q2;A0A494C0W0;A0A494C1G3;A0A494C1K5;A0A494C1N1;O95453	PARN	2.31378276202418e-05	17768.6272783333	43903.6342233333	-1.30504099744089	0.000888299225555474
A0A494BZY7;Q5JPI9	EEF1AKMT2	3.26005436013288e-05	12500.5569666667	19612.9000655556	-0.649884056207933	0.000888299225555474
A0A494C043;A0A494C0K4;A0A494C0L9;A0A494C0Q4;A0A494C1B5;A0A494C1F5;A0A494C1F8;A0A494C1G2;F6RJN6;H0YBA3;Q02297	NRG1	2.88976898934207e-05	16048.5319033333	6041.24396158333	1.40928498711641	0.000888299225555474
A0A494C0D6;Q13642;Q5JXI8	FHL1	2.73688107432948e-05	145555.08595	69667.9504166667	1.06297751669561	0.000888299225555474
A0A494C0N4;Q7Z4L5	TTC21B	2.79905498464219e-05	2602.3749185	7176.40264216667	-1.46363303316839	0.000888299225555474
A0A494C146;P50336	PPOX	3.53959432393145e-05	23201.105145	15378.9012586667	0.593147286297484	0.000888299225555474
A0A494C164;P52630	STAT2	4.33232634058971e-05	12185.95101	31424.4481883333	-1.3667144748923	0.000888299225555474
A0A494C1K3;P78347	GTF2I	3.19938883856975e-05	361334.6719	518190.409733333	-0.52014940424123	0.000888299225555474
A0A494C1M4;Q3SY69	ALDH1L2	3.16758442243842e-05	34373.6227216667	15193.3050747111	1.17777121553878	0.000888299225555474
A0A499FJI4;O75592	MYCBP2	3.16776482767337e-05	37605.4824216667	21149.2268057778	0.830269870356374	0.000888299225555474
A0A590UJN4;A0A590UKB6;P24928	POLR2A	5.25013920140034e-05	52596.7089866667	72305.6586383333	-0.459155977555956	0.000888299225555474
A0A5F9ZGX3;A0A5F9ZHD2;A0A5F9ZHS1;Q01484	ANK2	2.24699270478254e-05	24477.1966133333	9035.47173355556	1.43760684360544	0.000888299225555474
A0A5F9ZGZ5;A0A5F9ZH30;A0A5F9ZHE4;D6RHE1	ANK2	3.14436382529007e-05	268172.440116667	114921.493115	1.22249978417956	0.000888299225555474
A6NFI3	ZNF316	3.69479242527866e-05	30171.2636716667	18542.721706	0.702244302115166	0.000888299225555474
A6NHQ2	FBLL1	2.33535766270401e-05	60882.9889316667	22439.9987959667	1.43990229854918	0.000888299225555474
A6NIH7	UNC119B	3.84080640402494e-05	2916.39182533333	9389.02112427778	-1.68694384067582	0.000888299225555474
A6NMQ1;P09884	POLA1	2.31999080469906e-05	25111.2493483333	140090.785377222	-2.47996664906965	0.000888299225555474
A8MWY0	KIAA1324L	3.0762614936116e-05	15772.9047866667	7223.84052416667	1.12641072766879	0.000888299225555474
B1ALU1	ADGRL2	2.77386171864794e-05	8695.4262695	3046.65678574444	1.51255631169848	0.000888299225555474
B2RTY4	MYO9A	4.69311282295377e-05	12503.32373	6814.09109816667	0.875506807243495	0.000888299225555474
B3KVL5;Q8TBK6	ZCCHC10	5.41790360681949e-05	9835.741373	15733.6930348889	-0.677843328210296	0.000888299225555474
B4DKD2;K7EKA8;O75078	ADAM11	5.31479090487158e-05	11036.2934563333	4134.53227155761	1.41611079247097	0.000888299225555474
B4DXZ6;P51114	FXR1	3.94609242941714e-05	40834.62565	64969.8854177778	-0.670000364336732	0.000888299225555474
B5MC67;Q7Z6J6	FRMD5	2.77133004709609e-05	29405.50228	12119.115913	1.27868263724951	0.000888299225555474
B7Z2A9;B7Z641;Q93050	ATP6V0A1	2.30449625597743e-05	384851.635433333	195879.021279444	0.974332120186883	0.000888299225555474
B7Z6D5;Q96GQ7	DDX27	4.02229760272544e-05	20089.50586	46926.7968766667	-1.22400065297645	0.000888299225555474
B7Z7F3;Q9H6Z4	RANBP3	4.35271692743877e-05	57051.95573	96192.5373366667	-0.753663628608256	0.000888299225555474
B7Z9X4	NDRG4	2.21372616572902e-05	33241.1126283333	12528.4709941222	1.40764316799155	0.000888299225555474
C9J5P1;C9JNE2;Q9Y530	OARD1	3.56868264757259e-05	18273.1393216667	31832.9937055556	-0.800843650382737	0.000888299225555474
C9J6B1;P11234	RALB	2.62932700977447e-05	129699.699216667	71178.3773872222	0.865643915250539	0.000888299225555474
C9JJX6;E9PDC3;O00192	ARVCF	3.91089508216105e-05	66539.951825	39628.7708333333	0.747636197036025	0.000888299225555474
C9JL63;H7BXL3;Q14416	GRM2	1.96990702010932e-05	93791.6549483333	32814.8407662222	1.51506716910181	0.000888299225555474
C9JQU6;F8WF33;F8WF90;O75915	ARL6IP5	3.9907363267166e-05	393678.45835	196951.051868889	0.999173324787713	0.000888299225555474
D6RF86;P55285	CDH6	3.32314982918999e-05	25178.0589216667	11123.2631030556	1.17845729236752	0.000888299225555474
E3W994	CLASP2	3.3348094371973e-05	89835.533855	54149.5622838889	0.730309887953687	0.000888299225555474
E5RFT4;Q8N4L2	PIP4P2	5.37779590417348e-05	4659.74145516667	2393.91415319444	0.960275966633836	0.000888299225555474
E5RGX5;Q93045	STMN2	4.72922639548953e-05	9680.6904305	3819.65134717222	1.34129133389026	0.000888299225555474
E5RK69	ANXA6	4.14867965969301e-05	15900.3333326667	52137.3745653333	-1.71328859666883	0.000888299225555474
E7EMR3;E7EN28;E7ENK1;E7ES20;E7ESV6;E7ETE3;E7EUP0;E7EUW2;E7EVD6;E7EW95;E7EX52;E9PBG4;Q9HAR2	ADGRL3	4.72006178520738e-05	8936.48266666667	4186.11507010556	1.09375054235082	0.000888299225555474
E7ENY0	ADD1	4.80979106204385e-05	349364.609383333	230361.843761111	0.600825433824405	0.000888299225555474
E7EPC8;Q9UQB3	CTNND2	3.41467759647619e-05	16830.5520833333	7382.41953869445	1.1887214589836	0.000888299225555474
E7ESC7;Q7L5Y9	MAEA	3.85241438116265e-05	3854.45886233333	8440.60445161111	-1.13098889990863	0.000888299225555474
E7ESP9;P07197	NEFM	2.91573556473829e-05	2330195.60416667	872264.743389444	1.41761142771065	0.000888299225555474
E7EVJ5	CYFIP2	4.32290017508931e-05	99656.880215	60812.3958361111	0.71258025853039	0.000888299225555474
E7EXA6;Q8WVB6	CHTF18	3.48963532179601e-05	13084.783855	42610.1720922222	-1.70334164284055	0.000888299225555474
E9PBB9;Q9UQF2	MAPK8IP1	3.0138901136289e-05	14079.1601583333	7118.41615877778	0.983730437544862	0.000888299225555474
E9PC52;Q16576	RBBP7	3.86349947660178e-05	24548.716145	57096.74566	-1.21778620997427	0.000888299225555474
E9PD68;Q14194	CRMP1	3.09634840254918e-05	1904721.08333333	952862.407122222	0.999238429145012	0.000888299225555474
E9PER6;O15530	PDPK1	2.9873511442168e-05	86696.76693	42548.0013027778	1.02685292408738	0.000888299225555474
E9PGC5;Q5TG12	PTPRK	3.3171891804577e-05	4472.05293766667	15609.6008703333	-1.80351689819499	0.000888299225555474
E9PIF2;Q13206	DDX10	4.87462055633361e-05	15638.1531566667	28813.8797194444	-0.881743855063463	0.000888299225555474
E9PQ73;Q8TDW7	FAT3	2.48304884907848e-05	10474.2838548333	5225.45251488889	1.00294766160781	0.000888299225555474
E9PQA6;Q96EY5	MVB12A	4.98450943804976e-05	9846.244548	27047.9117032222	-1.45792507236625	0.000888299225555474
