Protein_Group	Genes	P_value	treatment_estimate	control_estimate	log2FC	p.adj
Q9HCM2	PLXNA4	2.67879870320008e-26	28332.76172	896.737762488889	4.98003334230346	2.17464878725782e-22
C9K0J5	RAPH1	3.96065786321649e-24	163824.848966667	20660.8516166667	2.98711274911724	1.60763102667957e-20
P31323	PRKAR2B	2.04589080611817e-23	266639.156283333	39860.2237411111	2.74183075073707	5.53618052135577e-20
A0A2U3TZH3;Q05639	EEF1A2	3.32594289763225e-23	833486.145833333	62122.7285122222	3.74594189458614	6.75000111074466e-20
P55290	CDH13	4.17520248268483e-22	42794.6751316667	1415.37969294444	4.91715132595799	6.77885875088709e-19
Q9NQX3	GPHN	7.39035927382108e-22	95681.410165	25960.5266933333	1.88186342737401	9.99915609747993e-19
O94760	DDAH1	2.2275528083408e-21	257704.309916667	30567.2720261111	3.0756097589453	2.5833248140158e-18
P08670	VIM	3.56339835500599e-21	5014306.33333333	880349.538194445	2.50990013986906	3.61595848074233e-18
P09104	ENO2	6.36336049122469e-21	2687692.20833333	183209.218757222	3.87479605292745	5.73975116308467e-18
A0A087WUH1;A0A0A0MS35;Q7Z4K8	TRIM46	8.1098097601293e-21	37838.4257816667	3851.03349822778	3.2961599141027	6.58354356327297e-18
Q8IUD2;X6RLX0	ERC1	1.0004775406742e-20	41166.5416683333	12923.0936145556	1.67140914958431	7.11504240328147e-18
Q9HCJ6	VAT1L	1.05174314904382e-20	108950.066416667	12978.0691870556	3.06940824875731	7.11504240328147e-18
O75037	KIF21B	1.30150810133507e-20	78280.57422	9565.06947216667	3.03265616492664	7.87160832544225e-18
Q86UR5	RIMS1	1.35750821084247e-20	42459.9108066667	5126.73749511111	3.0497070277547	7.87160832544225e-18
Q6T4P5	PLPPR3	2.13310431201529e-20	73280.5703133333	6830.41375745	3.4231746518974	1.15443605366268e-17
Q9BZ72	PITPNM2	4.11630823818605e-20	23805.5045583333	3352.11369838333	2.82772189877077	2.08851189234965e-17
O14775	GNB5	6.56635876626156e-20	22814.67448	4159.9088135	2.45499149242702	3.1356294390889e-17
A0A0G2JIW1;P0DMV8;P0DMV9	HSPA1B;HSPA1A;HSPA1B	1.19358151793682e-19	1653306.875	762507.982638889	1.11652829396382	5.38305264589507e-17
A0A0C4DG21;E7EP65;E7EW77;E9PEZ7;F8WAL6;Q9NYB9	ABI2	1.43986498448606e-19	35282.5338533333	11409.6599127222	1.62857194389578	6.15201260213568e-17
Q6PCE3	PGM2L1	1.69232508425922e-19	174202.5469	52793.423395	1.72230826400082	6.86914751700817e-17
O60443	GSDME	2.64111849526918e-19	68557.6783866667	9899.96908911111	2.79167660973429	1.02098094974263e-16
P50453	SERPINB9	2.83548805123802e-19	370142.682316667	37316.4116216667	3.31016067913752	1.04629509090683e-16
A0A087X294	PAK3	3.59789426038811e-19	59155.9720066667	7311.38442033333	3.01610999951958	1.17543147908356e-16
I3L170	MAPT	3.47710003280084e-19	1180105.1875	57625.6896458333	4.35603450151398	1.17543147908356e-16
O94919	ENDOD1	3.61983086685007e-19	55029.6875016667	6523.83719205556	3.07619632695364	1.17543147908356e-16
Q8N7J2	AMER2	3.95554265077446e-19	8594.95328766667	497.325203844445	4.10833035057188	1.23504212457643e-16
