Protein_Group	Genes	P_value	treatment_estimate	control_estimate	log2FC	p.adj
Q9NW07	ZNF358	0.181474455083127	546.6274332915	1017.64624702222	-0.898023352337107	0.222992391281989
P16930	FAH	0.181707009899805	17947.6868483333	13392.9163685	0.422220052153884	0.223244009869256
Q9NPG8	ZDHHC4	0.182076563694967	11756.1621085	9269.42244511111	0.342710170078957	0.223663841811505
Q13561	DCTN2	0.182425345172249	116503.250008333	90214.8724005556	0.368917015467651	0.224058032476157
Q9BYE7	PCGF6	0.182566062037215	333.791251041333	929.688130332667	-1.47935166683608	0.224196593071835
C9JE61;F5GYZ6;F5GZR3;F5H2N9;F5H3S4;F5H4K9;F5H4T0;F5H655;F6TDU8;Q8TAP4	LMO3	0.18272947800364	1210.825175	527.952677388889	1.19478001364111	0.224362982237049
Q9BQ04	RBM4B	0.18296235433378	19373.5878916667	17059.0887045556	0.183466010575394	0.224614593899454
O14975	SLC27A2	0.183176229062236	957.804443333333	2183.37178539444	-1.18941539388147	0.224842804844953
Q9H3K2	GHITM	0.183244005597243	72699.3014333333	53000.9261061111	0.455896712768145	0.224891642733137
Q9UQ53	MGAT4B	0.183618407031378	20871.5328783333	16467.6780322222	0.34181180873921	0.225316722739328
Q8WUN7	UBTD2	0.183948704059327	6631.64444025	2171.03971175556	1.61031617750175	0.225687561019498
A0A0A0MQS0;A8MW92;F8W9L8	PHF20L1	0.184027119465558	6841.16357416667	8053.48124222222	-0.235549947870058	0.225749298458894
Q6UUV7	CRTC3	0.184315722840041	9003.56485916667	5897.51271617167	0.610145102088669	0.226068818961949
A0A087WYU2;Q96S19	METTL26	0.184956122882772	22677.7579336667	8194.41150125	1.46838971771901	0.226787708499465
Q9UBR2	CTSZ	0.184958289209333	5680.0071005	9107.79017336111	-0.681366715226452	0.226787708499465
H0YA93;Q86UW6	N4BP2	0.185104240446968	8069.1066895	10742.3758275556	-0.412966523788785	0.226897417542546
Q5VIR6	VPS53	0.185086158913976	3435.8658855	2488.95012072222	0.464556881704559	0.226897417542546
A0A2R8YEZ7;A0A2U3TZT9;C9J1D1;H7BZY9;Q8WTS1	ABHD5	0.185277102900835	11064.19250985	7376.39135066667	0.584715489917995	0.227074667755981
Q13907	IDI1	0.185367308943132	84712.940105	77150.7671455556	0.134883159710734	0.227150576080229
C9JYE9;Q15329	E2F5	0.185527095015118	161.639148477667	732.158981338889	-2.18134941599346	0.227277055716797
Q9Y3B7	MRPL11	0.185523284938404	68545.7949233333	78059.8830338889	-0.187531619052055	0.227277055716797
O95671	ASMTL	0.186117782404676	94430.0065033333	101649.371090556	-0.10629820716193	0.227965911832557
H3BP07;H3BTW6;J3KNN3;P15735	PHKG2	0.18699266338121	3298.94494633333	5606.54838047778	-0.765365460538158	0.229002598730075
P04264	KRT1	0.187023301345275	708745.53125	415413.92318	0.770714689823356	0.229005215835002
A0A2R8YEP4;P30043	BLVRB	0.187150069376217	7891.38785816667	8826.38492866667	-0.161707060246223	0.229125522998309
Q96K76	USP47	0.187179403796977	28272.43685	25602.45356	0.143057813475208	0.229126524909919
P28749	RBL1	0.187297943854408	446.179768833333	1448.80028283889	-1.70015717161313	0.229236706606271
O95376	ARIH2	0.187504868841719	27984.4274083333	35166.8414711111	-0.329632559128849	0.229455013881086
A0A494C0D6;Q13642;Q5JXI8	FHL1	0.188748196465735	88469.4726516667	69667.9504166667	0.344663894709662	0.230871024296267
A0PJW6	TMEM223	0.18874263286656	1188.07192998333	2517.20066661111	-1.08377106643399	0.230871024296267
J3KMZ9;P01130	LDLR	0.188716992777026	13511.4145516667	15218.5666233333	-0.171748555967227	0.230871024296267
C9JLW8;I3L2L5;I3L317;I3L3A7;I3L4Q0	MCRIP1	0.189024725776057	85.9289449	330.418377385944	-1.94743751753188	0.231174074826578
Q9NQT8	KIF13B	0.189223587863976	23280.9635433333	27620.3668611111	-0.246633944879858	0.231382061860759
A0A096LNM2;Q969U6	FBXW5	0.189286844905957	465.954213416667	790.800097994445	-0.764948049240594	0.23142419336874
A0A087X0L7;E7EVY0;J3KNA0;Q15070	OXA1L	0.189398137226951	27892.7975283333	23854.1803372222	0.225590045109416	0.231525031586574
F6R0L0;Q8NDZ2	SIMC1	0.190208395059908	850.759847	1895.76475693889	-1.15671691234628	0.232480142121442
Q9H0Z9	RBM38	0.190245267632213	2088.73199451667	562.417027783333	1.89035232077459	0.232489844171077
Q14165	MLEC	0.190348877684601	137781.059933333	151829.66017	-0.140085571461148	0.232581087621011
H0YM08;Q96BM1	ANKRD9	0.190410199919988	2422.44270833333	1271.12847891111	0.929218162470951	0.232620641076039
P0DI81;P0DI82	TRAPPC2;TRAPPC2B	0.190490013394261	26601.3802083333	24711.21593	0.10627671957795	0.232682769477484
H3BSH6;Q6ZN54	DEF8	0.190924339807311	662.2312548545	387.775973130222	0.768396040951481	0.233177849270671
P27105	STOM	0.191017395929909	5292.63753333333	11477.3697002222	-1.11685898780909	0.233256045029912
H7C1W4;Q93075	;TATDN2	0.191337181786391	954.052195233333	1442.25173940556	-0.597182862188251	0.233611040214808
H0YK61;H0YNK0;H0YNK8;Q5J8M3;S4R329	EMC4	0.191637777820929	34580.90332	37867.2314466667	-0.131012489409685	0.233942501487567
P14635	CCNB1	0.191805898657675	5419.032695476	12592.1716821611	-1.21653442539763	0.234112167053687
P05387	RPLP2	0.192334145356475	85147.6560156667	169647.138564444	-0.994506880025938	0.234721272469514
Q8TD16	BICD2	0.19267327507939	1818.10952753333	3446.21454558889	-0.922991977291933	0.235099432841746
Q96T49	PPP1R16B	0.192833957480179	4468.59366866667	2046.60351562222	1.12588447728348	0.235259770475742
I3L2M9;I3L3H0;Q9UKL6	PCTP	0.193143006415756	200.639689166667	6602.4598523	-5.04054319264208	0.235601040921603
U3KQP1		0.19366596265031	1731.05906815333	2422.42849731667	-0.485394562775825	0.236203098041172
Q8WUJ1	CYB5D2	0.193735032917268	7296.77636766667	5378.24579538889	0.439855326672029	0.236251478143914
P67809	YBX1	0.194162748907837	504329.70315	751087.249166667	-0.57461523006644	0.236737130117523
Q9NZJ7	MTCH1	0.19423703828022	10311.7377121667	12979.9745558889	-0.332111225656897	0.23679177705683
O75197	LRP5	0.194427599904469	520.129715	1052.31383091667	-1.0179919794643	0.236988131861713
P20073	ANXA7	0.194558525888227	26130.505535	37180.0444344445	-0.508832260771509	0.237111748143774
F8W689;P48382	RFX5	0.194936557770687	6026.57531733333	8483.10601155556	-0.49342424383484	0.237536433376929
Q6FI81	CIAPIN1	0.195195486542316	44625.9954433333	55473.1615133333	-0.313931605619383	0.237815880874528
A6NGQ3;Q5VST9	OBSCN	0.195985129024489	2472.88806166667	3471.03778755556	-0.489585713454112	0.238741739192202
A2RQR6;Q96EI5	TCEAL4	0.196404108939652	3053.28424071667	5466.54463762778	-0.840531192407387	0.23921585801578
D6RBP0;Q96NL6	SCLT1	0.196712778531267	2580.3096925	1550.80137801667	0.733600318019974	0.239519196165893
O00311	CDC7	0.196695418563962	4682.99739583333	7514.73776423889	-0.68248249399659	0.239519196165893
Q9HCJ2	LRRC4C	0.196778166101233	7845.85721916667	12180.1947091111	-0.634652650803942	0.239562509791425
O15226	NKRF	0.196896595504894	6519.030843	7605.82530383333	-0.222636971938467	0.239670374925287
Q53EP0	FNDC3B	0.197188580978719	168130.729526043	8843.03372193333	4.24873509605959	0.239989434741595
Q9NX36	DNAJC28	0.197334345790855	540.356923416667	967.576195633333	-0.841952877362133	0.240130466216798
Q8IV08	PLD3	0.197456848965984	257068.0443	335692.63369	-0.384994894796089	0.240243152853071
Q6Q0C0	TRAF7	0.197495116183126	8456.68033766667	2278.23043145	1.89154465658008	0.240253332101653
O15056	SYNJ2	0.19761453277002	17729.5505315922	2977.34908033333	2.57357120096942	0.240325831815818
Q6P4F2	FDX2	0.197594255433238	7744.60599633333	1987.15091275556	1.9617645739694	0.240325831815818
Q9H0W5	CCDC8	0.197673257731843	2057.04362	5156.13212755556	-1.32599662156054	0.240360869533196
P28066	PSMA5	0.197799983185744	19097.699055	25626.52398	-0.424295269700013	0.240478569359578
Q8IZ52	CHPF	0.198041403908096	13210.739583	16494.8684627222	-0.320393497966787	0.240735655128828
B4DQA8;E9PCW1;K7EJC8;O95249	GOSR1	0.198145824208148	35370.7975266667	41888.6006955556	-0.244033383341805	0.240826153004457
A0A0A0MT66;P05060	CHGB	0.198366438887445	6184.661988	3040.34439768333	1.02398555492086	0.241057824631068
Q4G176	ACSF3	0.198406814790983	10615.252441	8850.99631138889	0.262063925255521	0.241070430492295
Q9Y6Q9	NCOA3	0.19871990449978	2989.674825	4417.740214	-0.563646538074913	0.241414338169902
O60504	SORBS3	0.198777066687291	24994.299155	36876.0315762778	-0.561123456287627	0.241447276013965
A0A0A0MSQ6;A6NHU9;E7EUA2	SHANK2	0.198894405615619	55234.306325	10903.2487788889	2.34067422853673	0.241553287352101
Q86WA9	SLC26A11	0.198973119618518	35286.0950533333	75132.7669627778	-1.09036165346055	0.241575856170262
Q9HBL8	NMRAL1	0.19896744155391	10862.3850096667	16150.6044649444	-0.572336581596129	0.241575856170262
O14530	TXNDC9	0.199016837303417	19492.9744466667	17159.5361316667	0.183859622838528	0.241592429027489
F5H1U9;O75970	MPDZ	0.199567176267595	6330.50781233333	7884.15567344444	-0.316818005337448	0.242223906542315
O75398	DEAF1	0.199778809113391	445.0760905	964.028315277778	-1.11651927243404	0.242444152125977
H6UMI1;O95166	GABARAP	0.200056445136107	2560.5421345	1899.69899843333	0.429919219596515	0.242744418101573
Q9BUL8	PDCD10	0.20061515265568	4512.66215	6067.21133423333	-0.427292558223928	0.243385588341897
A0AV96	RBM47	0.200926475042515	197.213994199833	26252.4887526	-7.05660341277803	0.243726483539645
O14737	PDCD5	0.200975183611731	33169.1961266667	41956.9992416667	-0.339101836888737	0.243748769859662
P53621	COPA	0.201154808330927	122407.945316667	129512.307722222	-0.0814031407568233	0.243929804548597
B8ZZW5;Q8NBF6	AVL9	0.201710513391926	10122.3660491667	9275.97062238889	0.125820873764916	0.244566768538422
H7C1F9;Q2PPJ7	RALGAPA2	0.201753398751951	7392.78841116667	9042.78219894444	-0.290807625553658	0.244581858625819
P21912	SDHB	0.202061508522871	39545.9257816667	36614.6403	0.111069044162358	0.244918422232806
K7EMI9;Q9BWC9	CCDC106	0.202449000150769	13811.1315506667	10242.2904185556	0.431152302950361	0.245351088418014
A0A3B3ISV9;O43414	ERI3	0.202653546924664	5915.76741516667	4456.4967075	0.408331600212874	0.245561943830444
Q9UNK9	ANGEL1	0.203019682647553	5776.90171333333	2190.27218277778	1.39852725344855	0.245968508756497
O15194	CTDSPL	0.203132877336591	414.294433666667	1245.62128707778	-1.58929491131868	0.246068546570105
P11217	PYGM	0.203516108359393	35672.4697266667	19635.5319551111	0.861270946895574	0.246495618128991
Q8IYD1	GSPT2	0.204070144831681	12995.56136	14629.7085232778	-0.170980682528418	0.247129406740401
Q96HA1	POM121	0.205124418983227	5210.73132333333	6895.16391411111	-0.404308197897977	0.248368702008774
Q12796;Q49A59	PNRC1	0.205590906998531	9552.0949119	3273.99565295	1.54432417994005	0.248896027984511
Q9NZ71	RTEL1	0.205862545182196	12741.4991152833	7097.69202994445	0.843909899145035	0.249187338134821
F5H1M8;H0YBU4;Q96MG8	PCMTD1	0.206141930157529	33180.866215	9408.32978633333	1.81818767904279	0.249487936257832
P51511	MMP15	0.206270187103997	4633.70894383333	6440.60312911111	-0.475252350829821	0.249605565268165
O43353	RIPK2	0.206608717723535	2513.3579864705	7155.29264966667	-1.50959621220135	0.249977570683421
H0YIV9;O43716	;GATC	0.20681603844735	2086.78113815	4209.78221994444	-1.01280896339029	0.250190736062098
Q8TAP8	PPP1R35	0.206874120152794	3062.05403666667	7797.12166016111	-1.34862692012052	0.250223326121888
D3DWX8;P98173;Q5HY75	FAM3A	0.206917687302275	1533.7569985	3004.20275880556	-0.970392404897262	0.25023835302134
P34949	MPI	0.207151434750611	13015.4019363333	15292.6763782222	-0.232715386224547	0.25048333758031
A0A087WT84;Q9H9V9	JMJD4	0.207297465610953	2503.32968131667	864.169138621611	1.53279419325237	0.250595394307437
P20674	COX5A	0.207306482384758	15382.6956383333	10305.8155855	0.57770967737999	0.250595394307437
Q9H0U6	MRPL18	0.208270760668741	2913.35416683333	4334.71837278889	-0.573589953465539	0.251723159141596
P35568	IRS1	0.208556502166539	1957.77265418333	3217.04110197183	-0.716969510696861	0.252030605340373
Q9BX67	JAM3	0.209111864957236	58106.2226583333	48982.7757716667	0.246388687545237	0.252663734576149
P68366	TUBA4A	0.20981973970885	3542965.6875	4419092.59027778	-0.318792992220424	0.253480921449498
Q68D06	SLFN13	0.209896993327188	4660.64398233333	8039.580404	-0.786770332779207	0.253536130695123
J3KQ48;Q9Y3E5	PTRH2	0.210373710566407	11703.9720055	15175.3393557778	-0.374825620264126	0.254073765880216
A0A494BZX7;A0A499FIJ6;B0QY83;W0Z7M9	MRTFA	0.210742374459821	7953.30159516667	7188.01733388889	0.145759297752492	0.254480760262198
O96001	PPP1R17	0.210872502273547	18711.4150013833	39792.0273358444	-1.08859699646966	0.254599632722456
J3KSC1;P17022	ZNF18	0.211208720982858	986.759196	4292.52794061111	-2.12139361596264	0.254967258578315
O96008	TOMM40	0.211309573522726	56885.845705	66076.1462666667	-0.216081654283573	0.255050686984393
P08574	CYC1	0.211692871315576	212641.233098333	181105.666672222	0.231581721932078	0.255474950588864
A0A1W2PQ11;A0A1W2PQ86;Q02246	CNTN2	0.211841988876487	62059.5494783333	106716.901489389	-0.782077073862245	0.255616516086886
Q13136	PPFIA1	0.211961540158254	30718.461915	28065.0812722222	0.130278340025245	0.255722368644381
P49720	PSMB3	0.212324183815608	213734.635433333	173857.98265	0.297903106186301	0.256121425755654
J3KTL2;Q07955	SRSF1	0.213084645422108	858804.75	947121.052111111	-0.141220181757954	0.257000169013305
Q8WUX2	CHAC2	0.213644715951006	9372.5524895	6094.31226972222	0.6207418664888	0.257636994246786
Q96FT7	ASIC4	0.213886181518446	9681.37662766667	16450.4702956111	-0.764932416925256	0.257889476065534
A0A0C4DG83;A2VCS9;Q49MG5	MAP9	0.215269242740933	9134.3672675	2464.82834205556	1.889232427209	0.259518134347097
Q8WY91	THAP4	0.215492700062645	12683.7182218333	5770.92551666667	1.13585314445113	0.259748551605663
Q14934	NFATC4	0.215651427199837	4970.24296083333	11204.4388974444	-1.17281087578132	0.259900887588225
H0Y3U6;P51654	GPC3	0.21637257122064	3188.62089033333	4897.232605	-0.619328706362962	0.26073089528462
Q14118	DAG1	0.216454919834638	2876.66235106833	5181.00140419639	-0.849113512114524	0.260791015275351
H0YBY3;P17900	GM2A	0.216692999194887	15370.90983	18695.5569672222	-0.282570054409532	0.261038717920677
Q9P2J3	KLHL9	0.217546847755742	2844.217163	4027.29130716667	-0.502136393577991	0.262028020044579
Q4G148	GXYLT1	0.218206414021717	4617.57482916667	3281.04196509444	0.492541655030698	0.26278305405643
B4DH23;H3BQH9;H3BRI3;Q9NTJ4	MAN2C1	0.218845895735255	50136.79965	16992.1041667778	1.56092049169613	0.263513677840968
B7ZLU9;Q14833	GRM4	0.21910257951684	12448.9156916667	10072.490907	0.305456360942025	0.263783222418011
Q9UI36	DACH1	0.219454802572463	39943.7187516667	24460.8259928889	0.707436553425401	0.264167691186478
Q8TBZ6	TRMT10A	0.219533248127729	1540.97253433333	2234.58236692222	-0.536809552878321	0.264222535755888
A0A075B6Q3;Q5H9F3	BCORL1	0.219749980859124	2364.918335	3263.92774792778	-0.465260700128611	0.264443776576766
Q9HA92	RSAD1	0.220071021480682	1106.39774575	1854.16982935467	-0.745681140564518	0.264790454866319
A0A494C181;A0A494C1D4;Q96Q11	TRNT1	0.22013966793338	26590.625	24492.9293627778	0.118493455102388	0.264833392999657
E7ES52;P46527	CDKN1B	0.220221273028765	17522.5063473333	10941.3582713056	0.679285448990784	0.264891905506905
A0A1B0GVL3;Q05086	UBE3A	0.221899128157762	33734.9990233333	31090.0418816667	0.117747156901721	0.266870153382371
Q9Y2Q5	LAMTOR2	0.222115587565102	51902.650582	9859.90888802222	2.39601568427554	0.267090503754204
Q9Y3F4	STRAP	0.222391428923238	178890.960966667	194559.831172222	-0.121140804674896	0.2673821833605
Q30KQ4	DEFB116	0.223315963579561	10565.1184906667	8958.74755877778	0.237778957597936	0.268453585781234
