Protein_Group	Genes	P_value	treatment_estimate	control_estimate	log2FC	p.adj
Q9UNT1	RABL2B	0.323660278462133	5721.11808266667	4950.58730744445	0.20840604418669	0.58693428580375
I3L1Q3;Q8TE02	ELP5	0.324193931810945	56084.1822916667	67875.1718833333	-0.275311263735653	0.587246947123521
O75829	CNMD	0.324538107084503	1460.8086345	2838.52548538889	-0.958882662443197	0.58761650354212
Q5JQP2;Q5JQP4;Q5JQP8;Q9UGP5	POLL	0.324510980999304	1953.7587384	1443.32814705556	0.435853770366705	0.58761650354212
B9A047;Q9Y576	ASB1	0.32467593759763	1765.25399783333	2086.35831701111	-0.241802491443777	0.587739148695192
A6NNK5;Q12888	TP53BP1	0.325297180193432	206855.07815	231342.125883333	-0.161413856201062	0.58846747081472
I3L4J1		0.325329316245432	37610.0761733333	34372.5628272222	0.129819833221089	0.58846747081472
Q13155	AIMP2	0.32549935952757	68896.139975	79584.6143661111	-0.208084521806907	0.58846747081472
Q8TEB1	DCAF11	0.325154635284921	8425.26944983333	7729.79193788889	0.124106615511208	0.58846747081472
Q9C0B5	ZDHHC5	0.325439397498338	10656.1886395	11476.6664498889	-0.107137827432798	0.58846747081472
Q9H8H0	NOL11	0.325447566337214	46482.91862	51279.0725916667	-0.141697647135602	0.58846747081472
O75475	PSIP1	0.325772517446907	666767.15625	732640.369794444	-0.135924125970536	0.588707448015585
Q96RF0	SNX18	0.325735798864602	37080.3300783333	45093.3958073333	-0.28229406445008	0.588707448015585
P54277	PMS1	0.326596896293982	83019.179685	103576.203450444	-0.319189930016076	0.590070022716018
Q9NX58	LYAR	0.326780629288233	40250.4238283333	47413.9987005556	-0.236339521848696	0.59027479030199
B1AHQ6;B1AHQ7;B1AHQ8;Q9NSP4	CENPM	0.326893895467273	7824.81709766667	6141.2707585	0.349284920547616	0.590352210530493
B4DZG7;F8VYN9;P40616	ARL1	0.327214501366571	53545.7770183333	60310.7917755556	-0.17166729741856	0.59054963279352
F8VZH8;F8W059;F8W0P6;Q9UPW8	UNC13A	0.327135633314527	1393.36781808333	1773.83692763889	-0.349110328019848	0.59054963279352
Q8WUA8	TSKU	0.327171067793471	4531.6101075	3314.59097633333	0.450757697748961	0.59054963279352
P10075	GLI4	0.327360946721198	3890.74576833333	3358.54288061111	0.211781769174623	0.590652742063106
Q9P2I0	CPSF2	0.327412515815065	77964.8971366667	72334.3563377778	0.108123726822486	0.590652742063106
P53992	SEC24C	0.327570397497385	71775.5729183333	68770.4053833333	0.0616841129854883	0.590810450207695
Q70SY1	CREB3L2	0.327698608406004	446.520100916667	954.223130994444	-1.09711264993168	0.590914587415988
H0YB92	CEP170	0.328070380016728	1589.06674181667	2059.9534132	-0.375132173789859	0.591269515183593
H0YK61;H0YNK0;H0YNK8;Q5J8M3;S4R329	EMC4	0.328106983202058	33817.251955	37867.2314466667	-0.16322861610256	0.591269515183593
O14939	PLD2	0.328007205541043	38066.31478	31835.4917544444	0.257833542790693	0.591269515183593
P32321	DCTD	0.328347406738931	12942.164714	11317.0376246111	0.193455105025194	0.591575635046398
Q96RY7	IFT140	0.3284370342731	12804.0982268333	14874.6135261667	-0.216343522113713	0.59160999621481
Q13332	PTPRS	0.329000741888931	14788.0966816667	13521.9799815556	0.129023275637278	0.592370886995639
Q9HBR0	SLC38A10	0.328999949177242	11446.592774	9805.33232922222	0.223132666019734	0.592370886995639
Q86WQ0	NR2C2AP	0.329242443502645	1666.59562166667	3288.74186220556	-0.981070288645698	0.592586681613114
Q9ULU4	ZMYND8	0.329261937941025	51175.6510433333	53610.9368505556	-0.067096705654947	0.592586681613114
P36954	POLR2I	0.329335090645735	8023.19995116667	10429.590414	-0.37857116547729	0.592591144863625
H0YJH0;Q9H4B6	SAV1	0.329482507299006	27115.0961936667	17095.9988405222	0.665353187802027	0.592681617425872
Q9UKP4	ADAMTS7	0.329526738275422	8811.03027416667	10445.3454853333	-0.24561569442848	0.592681617425872
Q9H307	PNN	0.329709530587552	99824.082685	90686.9299061111	0.138477361248089	0.592883211232388
A6NNY8	USP27X	0.330279197798557	397.39264935	804.22516125	-1.01882706651483	0.593684098365924
F5H0R1;Q9H6E5	TUT1	0.330296519842223	25968.86491	31734.9427696167	-0.289334745243743	0.593684098365924
Q7Z2T5	TRMT1L	0.330426514358941	77292.696615	70054.21007	0.141839751176441	0.593790467831059
Q5VTJ3	KLHDC7A	0.330554592394231	8859.82920233333	16190.3280767778	-0.869870533816791	0.593893348452031
O94762	RECQL5	0.330681843432407	5030.70874033333	6137.38572866667	-0.287097640581989	0.593994699481734
F8W914	RTN4	0.330893654301939	41679.0204255	65222.8487630556	-0.646078204289862	0.594247867063987
C9J880;Q68CQ7	GLT8D1	0.331441468852379	12533.6097008333	11008.4736336111	0.187056478271466	0.594279493151227
M0R0F0;M0R0R2;P46782	RPS5	0.331585679539557	394064.755233333	429246.587688889	-0.123377304495927	0.594279493151227
Q14258	TRIM25	0.331123319594792	9220.80883816667	7197.82773155556	0.357131312715721	0.594279493151227
Q2TBE0	CWF19L2	0.331620005778723	27456.34082	23877.4139	0.201432356272494	0.594279493151227
Q8IW41	MAPKAPK5	0.331447084691303	3274.41306046667	2482.28117376667	0.398988703919656	0.594279493151227
Q9H2W6	MRPL46	0.331179250133561	9288.717285	10353.8328180556	-0.156752972872499	0.594279493151227
Q9HCN3	TMEM8A	0.331404750101085	1148.27756751667	1893.41032573889	-0.722277429923677	0.594279493151227
Q9NRL3	STRN4	0.331568172709564	14358.21338	15351.6476788889	-0.0966112375783728	0.594279493151227
Q9NXD2	MTMR10	0.331213823535701	3331.2856953	2364.25142409444	0.49408553778191	0.594279493151227
Q9UBI9	HECA	0.331139056961937	3617.46757018333	4866.53934612778	-0.428212557467325	0.594279493151227
A0A5F9ZH79	ASCC1	0.331817930298436	8256.15185566667	7560.79060905556	0.126741605835715	0.59438012081871
P61758	VBP1	0.33181078379538	25926.57845	23745.8487411111	0.126695747856382	0.59438012081871
P17020	ZNF16	0.332142930349549	766.425679516667	1387.25692075556	-0.85705678279618	0.594835213793458
A0A0A0MS90	MBD1	0.33246625148486	8969.79329416667	7748.70191766667	0.210933919069671	0.595032981579627
E7EWW5;H0YAZ8;H0YB53;O43312	MTSS1	0.332412939055223	11410.2656241667	10237.7282173333	0.156295852040858	0.595032981579627
H0YJU4;H0YJV7;P25490	YY1	0.33241183598339	40867.4843766667	37364.4641933333	0.129247995008613	0.595032981579627
