Protein_Group	Genes	P_value	treatment_estimate	control_estimate	log2FC	p.adj
Q9NQX3	GPHN	8.5741594419986e-29	113909.820316667	25960.5266933333	2.13344499900285	6.94592656396307e-25
Q7Z5H3	ARHGAP22	2.06079297358408e-28	28636.4108083333	396.800287861111	6.16966255099838	8.34724193950232e-25
A0A0C4DG21;E7EP65;E7EW77;E9PEZ7;F8WAL6;Q9NYB9	ABI2	1.33875171096607e-26	42622.4863283333	11409.6599127222	1.90123252392385	3.6150758701787e-23
A0A087WVA8;Q8IWB9	TEX2	4.78219682521282e-24	93905.7278666667	12704.3089190556	2.88578170532855	8.58834585113238e-21
O60443	GSDME	5.30079363728699e-24	104904.105483333	9899.96908911111	3.40535758899786	8.58834585113238e-21
P08670	VIM	9.40951246444239e-24	8089472.83333333	880349.538194445	3.19989569368442	1.08894943534925e-20
P31323	PRKAR2B	9.18916062105633e-24	398747.875033333	39860.2237411111	3.32241892387108	1.08894943534925e-20
P09104	ENO2	1.32721570373076e-23	3585260.125	183209.218757222	4.2905059172957	1.34397180199036e-20
O14994	SYN3	1.65718226377049e-23	14750.1814766667	502.963479783333	4.87126970316586	1.49164816875608e-20
Q8WYK1	CNTNAP5	1.92347064184848e-23	34996.139975	1140.993354	4.93756964373988	1.55820356696145e-20
Q8N7J2	AMER2	2.17850007829713e-23	14815.302735	497.325203844445	4.89385675311798	1.60436628493501e-20
P52943	CRIP2	4.657275148045e-23	718757.78125	36939.1521826667	4.28224395467324	3.14404883119271e-20
Q9H479	FN3K	5.3978554419246e-23	76930.3932316667	11784.9784075556	2.70648215451394	3.36369437961778e-20
Q9UBH6	XPR1	7.33495582979599e-23	31587.94336	2954.43020536111	3.41793395278876	4.24431979836981e-20
Q86UR5	RIMS1	9.28600854724304e-23	80614.328125	5126.73749511111	3.97464196850833	5.01506368274773e-20
E7EM83;Q92932	PTPRN2	1.01556919130843e-22	19936.2311216667	580.284474672222	5.10000451194075	5.1419537617435e-20
Q96E17	RAB3C	1.08705551739047e-22	23742.2021483333	1717.72202558333	3.78804561763452	5.18013926257658e-20
A0A087WUH1;A0A0A0MS35;Q7Z4K8	TRIM46	1.21635367175668e-22	46388.7630216667	3851.03349822778	3.59008322217583	5.18614794468466e-20
P49418	AMPH	1.20147705052407e-22	237213.153666667	28081.8126094444	3.07842467089526	5.18614794468466e-20
O00154	ACOT7	1.29094040431384e-22	1409673.29166667	371737.824683333	1.922999562513	5.22895410767321e-20
C9K0J5	RAPH1	2.12829056446322e-22	214741.6276	20660.8516166667	3.37756043174441	8.2101342203412e-20
A0A0G2JIW1;P0DMV8;P0DMV9	HSPA1B;HSPA1A;HSPA1B	3.3870821400412e-22	1943142.29166667	762507.982638889	1.34956531164308	1.24721601893063e-19
P51812	RPS6KA3	4.79446624983349e-22	39903.520835	8584.673041	2.21651290804198	1.68869439521309e-19
Q6PCE3	PGM2L1	1.31456823111683e-21	299189.50525	52793.423395	2.50260211753638	4.43721551678226e-19
F5H4N6;Q9Y3R0	GRIP1	1.52669469681586e-21	43054.7207016667	4406.48952238889	3.28814238443454	4.94710149556211e-19
A0A087X294	PAK3	1.7674961349716e-21	83935.859375	7311.38442033333	3.52087347403081	5.49533841591075e-19
Q9ULH0	KIDINS220	1.83155335427219e-21	119523.737016667	14907.1673457778	3.00312233730776	5.49533841591075e-19
E9PMB9;Q16798	ME3	4.46494390111668e-21	21524.4179683333	1093.57405594444	4.29753275510115	1.29180394796236e-18
G5EA48;Q7Z6B7	SRGAP1	5.53186522328317e-21	66199.289065	10714.9685335	2.62705347360766	1.54529793702817e-18
P36543	ATP6V1E1	8.66617838256074e-21	343662.661483333	71818.5479638889	2.2585446354767	2.32001934488666e-18
Q8TBJ4	PLPPR1	8.87799033347569e-21	35500.58789	1380.77259655556	4.68325080515897	2.32001934488666e-18
P13861	PRKAR2A	1.01071788603923e-20	181722.536466667	42461.3282338889	2.09748196533039	2.55869549837619e-18
O15075	DCLK1	1.10735075152807e-20	917652.03125	72150.372294	3.66884845543105	2.71837831458451e-18
P29320	EPHA3	1.16141428118605e-20	82725.621095	10732.3525533333	2.94623344715029	2.76550706562955e-18
Q8N9I0	SYT2	1.19482467963257e-20	272773.718766667	23804.5148111667	3.51833691646248	2.76550706562955e-18
O43301	HSPA12A	1.63323866144937e-20	205652.971366667	18726.9055389444	3.45695044876364	3.67524066566704e-18
P50453	SERPINB9	1.85347362026121e-20	365628.39585	37316.4116216667	3.29245729118165	4.05810535073947e-18
Q92777	SYN2	2.66373540956129e-20	38024.5423183333	2112.83183462778	4.16899836993451	5.67866330338317e-18
A0A0D9SEY4;A0A0D9SGF8;E7EWI0	MAGI2	3.15297865615108e-20	14640.5940766667	1978.73773031667	2.88659287137823	6.38557002336998e-18
O76083	PDE9A	3.11758663302922e-20	97199.66276	5845.01078626111	4.05542691220064	6.38557002336998e-18
Q12860	CNTN1	4.26673759272532e-20	600655.916666667	32827.2858348333	4.19352746041206	8.43044908260191e-18
Q6VY07	PACS1	5.467030859422e-20	47384.440105	7885.46383961111	2.58696292135045	1.05448611886137e-17
Q8IUD2;X6RLX0	ERC1	5.85416971276688e-20	57624.8945316667	12923.0936145556	2.15662909925187	1.10289834518894e-17
Q6T4P5	PLPPR3	8.67103705112222e-20	111678.47395	6830.41375745	4.03102314822514	1.59645616252593e-17
E7EVJ5	CYFIP2	1.2060709580015e-19	303955.447933333	60812.3958361111	2.32139881974256	2.17119574017115e-17
A2A2V1;P04156	PRNP	1.33356074260357e-19	13086.65332	516.532106155556	4.66030402459314	2.34851642952859e-17
Q02156	PRKCE	1.3640243236711e-19	46621.81901	4193.14575197222	3.4745563912293	2.35105554171481e-17
Q7L1I2	SV2B	1.55599432647535e-19	41221.985025	1439.02931044444	4.83924389705858	2.62606459141183e-17
Q8IYB7	DIS3L2	1.73562726404645e-19	71054.0533883333	30944.0380861111	1.19920885501768	2.86945234000823e-17
O94813;X6R3P0	SLIT2	1.82837021245359e-19	54646.3431016667	9942.81787211111	2.45825317710846	2.9042406060954e-17
Q8TB96	ITFG1	1.79387945623373e-19	74913.1145833333	10771.7969431111	2.79782543896507	2.9042406060954e-17
Q9P2U8	SLC17A6	1.94249444095078e-19	13053.3706066667	557.769439622222	4.54602545493833	3.02618220502736e-17
O00445	SYT5	2.04195645757148e-19	129868.253916667	10008.3291422778	3.69763162100469	3.12111118165784e-17
Q9Y4G6	TLN2	2.08888585160757e-19	111209.759133333	39349.0617416667	1.4988455918064	3.13371560812462e-17
