Protein_Group	Genes	P_value	treatment_estimate	control_estimate	log2FC	p.adj
O75037	KIF21B	8.89860902542795e-18	60012.446615	9565.06947216667	2.6492635736782	7.27817232189752e-14
P08670	VIM	3.31514477699918e-17	2687305.5	880349.538194445	1.61001034413597	1.35572845655382e-13
Q9NQX3	GPHN	5.89747433231652e-17	65691.30013	25960.5266933333	1.33932709399873	1.60784808546723e-13
Q9HCM2	PLXNA4	1.15588955198438e-16	11026.181315	896.737762488889	3.61849533832233	1.89080412913605e-13
Q9ULH0	KIDINS220	1.1445790716163e-16	49365.14909	14907.1673457778	1.727389965664	1.89080412913605e-13
A0A2U3TZH3;Q05639	EEF1A2	9.42599995567077e-16	381661.692733333	62122.7285122222	2.61907806654534	1.28492089395719e-12
A0A5F9ZI23	ALDH5A1	1.31021079475375e-15	11104.0595705	4545.79895016667	1.28816409506537	1.53088772718441e-12
O94760	DDAH1	2.61955585665209e-15	139607.89715	30567.2720261111	2.19127364579379	2.38059415017305e-12
P14550	AKR1A1	2.42380303429766e-15	278613.067733333	165009.165366667	0.755708022267428	2.38059415017305e-12
Q9C040	TRIM2	3.42616712302074e-15	74210.95573	17567.4024267222	2.07864918037978	2.80226208991866e-12
Q7Z4S6	KIF21A	6.84069927220315e-15	71202.8815116667	20763.5163302778	1.77781535951396	5.08637084975905e-12
A0A0G2JMX7;A0A0G2JPD5;A0A0G2JQJ7;A0A0G2JS76;P10636	MAPT	1.06144175596849e-14	207705.984383333	16108.1593865167	3.68858966549125	5.7876880813775e-12
O00429	DNM1L	9.66799302711672e-15	328937.145866667	192736.172744444	0.771177089001425	5.7876880813775e-12
P09104	ENO2	8.53453513535473e-15	1411903.70833333	183209.218757222	2.94606982159243	5.7876880813775e-12
Q9HCJ6	VAT1L	1.04537289880347e-14	58933.24414	12978.0691870556	2.18289476337005	5.7876880813775e-12
P60520	GABARAPL2	1.73775014853307e-14	41012.2161466667	17083.4562722222	1.26336937014691	8.88316154053246e-12
Q14088	RAB33A	2.31597339141937e-14	28677.3300766667	4929.90003948333	2.5399878006183	1.11425566873053e-11
Q13867	BLMH	3.22614154356387e-14	454324.69795	132893.273990556	1.77344479053932	1.46592287137827e-11
P17600	SYN1	3.49336707872807e-14	29186.0755233333	7528.50523544444	1.95465325983881	1.50380259667984e-11
O94919	ENDOD1	3.85467539406334e-14	34533.0449233333	6523.83719205556	2.40396373919754	1.5763695024022e-11
Q9Y4K4	MAP4K5	4.57300966537412e-14	62261.927085	30619.5051	1.02385214974079	1.78107838348071e-11
Q96PE3	INPP4A	5.71330750228063e-14	46176.4003916667	20395.9565977778	1.17880180879791	2.1240519118706e-11
P63151	PPP2R2A	6.87266400942801e-14	131880.221383333	85837.9670155556	0.619523593983714	2.44397908404833e-11
Q2M2I8	AAK1	7.39972612603265e-14	112436.085933333	48124.4963111111	1.22423181316965	2.52176499936754e-11
A0A024R571;Q9H4M9	EHD1	9.31861925506423e-14	262740.872433333	116789.597235556	1.16971651802319	2.8228513661915e-11
P32119	PRDX2	9.12622531834187e-14	2277954.95833333	982131.53125	1.21374959771598	2.8228513661915e-11
Q5SWX3	CAMK2G	9.0084222944213e-14	8501.49137316667	632.0997993	3.74721110474372	2.8228513661915e-11
C9K0J5	RAPH1	1.10868688283336e-13	101022.210938333	20660.8516166667	2.28963106900595	3.12687931541173e-11
Q96JE9	MAP6	1.08660435709624e-13	166314.40885	38407.5553928889	2.1144135557325	3.12687931541173e-11
O15075	DCLK1	1.25433805277744e-13	504868.036483333	72150.372294	2.80680760269129	3.30942933344087e-11
Q9UDT6	CLIP2	1.23937462232408e-13	127689.204433333	32632.0240888889	1.96823196391574	3.30942933344087e-11
Q9NZN5	ARHGEF12	1.33560346071339e-13	20914.10319	8779.593777	1.25208572695683	3.41371897036714e-11
P31146	CORO1A	1.39426145280256e-13	248655.58075	64022.9463916667	1.95746529945242	3.45565588559761e-11
P61160	ACTR2	1.62847076590421e-13	380341.890633333	213597.131955556	0.832397815464723	3.91743011597957e-11
O60264	SMARCA5	1.76614794297625e-13	73348.0143233333	137186.319016667	-0.903317316469625	4.1272354358865e-11
A0A087WUH1;A0A0A0MS35;Q7Z4K8	TRIM46	1.95821327007519e-13	19758.5478516667	3851.03349822778	2.35878476601673	4.1678181977089e-11
A0A087X294	PAK3	1.98734453735966e-13	34494.3216166667	7311.38442033333	2.2379450663706	4.1678181977089e-11
O95251	KAT7	1.8664506477139e-13	14616.70589	24824.4602866667	-0.764202253515694	4.1678181977089e-11
Q6T4P5	PLPPR3	1.93101596636363e-13	37657.0859383333	6830.41375745	2.46266528304014	4.1678181977089e-11
O43597	SPRY2	2.07273000608771e-13	9131.71516933333	3120.509101	1.54864218854694	4.1955175145157e-11
Q8IXJ6	SIRT2	2.10314485994796e-13	18076.711915	3580.75518791667	2.33539364293141	4.1955175145157e-11
Q14195	DPYSL3	2.16815699419743e-13	3633393.75	1077663.59549444	1.75340948471906	4.22222763227162e-11
P50453	SERPINB9	2.6799523016055e-13	194483.539083333	37316.4116216667	2.38172722413704	4.87096219440698e-11
Q96SK2	TMEM209	2.6347682498936e-13	6302.71516933333	13298.4784057778	-1.07732429414613	4.87096219440698e-11
Q99536	VAT1	2.6486294225923e-13	1671096.60416667	523241.447061111	1.67524364972312	4.87096219440698e-11
O94819	KBTBD11	2.92555269494586e-13	22270.42383	6399.39625411111	1.7988958829198	5.09108414722599e-11
Q8NCC3	PLA2G15	2.9192544214494e-13	6070.27986633333	2461.94783522222	1.30137696039015	5.09108414722599e-11
Q9UJU6	DBNL	3.08649631510114e-13	215000.101566667	98716.5507827778	1.12295883507656	5.25926111691922e-11
P55290	CDH13	3.18669899713886e-13	18860.3068033333	1415.37969294444	3.7350731749765	5.31918593828546e-11
Q9H479	FN3K	3.28614477304547e-13	45825.4348966667	11784.9784075556	1.95907704420231	5.37547561974778e-11
Q6ZMI0	PPP1R21	3.552826716003e-13	45275.7109383333	16073.1213651667	1.49399741525917	5.69775876670364e-11
O00154	ACOT7	3.76857463248185e-13	726867.541666667	371737.824683333	0.967403111048991	5.92753306135943e-11
P29320	EPHA3	4.22864978739228e-13	39639.6848966667	10732.3525533333	1.8848447232887	6.52568426624178e-11
E7EPC8;Q9UQB3	CTNND2	4.61671662168361e-13	35567.614585	7382.41953869445	2.26820317795167	6.9926157868056e-11
Q9NSE4	IARS2	4.78725153685738e-13	137549.96355	79930.948785	0.783111588870327	7.11907823999209e-11
A0A087WZV0;O43314	PPIP5K2	5.19058257005912e-13	69540.2480483333	34688.1999788889	1.00336164433818	7.58103122152028e-11
A0A1B0GTM3;A0A1B0GTZ5;A0A1B0GUA4;A0A1B0GUH5;A0A1B0GW68;E7EMM4;Q13510	ASAH1	5.52163823237095e-13	38928.8509116667	14706.5846898889	1.40427941667342	7.92306650922141e-11
F8WCF6;P59998	ARPC4-TTLL3;ARPC4	6.92721389920621e-13	281129.5573	144832.898452778	0.956835837751518	9.68433591829602e-11
O75694	NUP155	7.1599944619201e-13	91255.4283866667	157918.997411111	-0.791211585086911	9.68433591829602e-11
Q3B7J2	GFOD2	6.99162071108583e-13	13969.7275383333	2627.11413738889	2.41020404560405	9.68433591829602e-11
Q9C026	TRIM9	7.22269826404276e-13	4275.030599	414.365360644444	3.3634819333902	9.68433591829602e-11
