SampleA	SampleB	Spearman
Day21_2	Day10_3	0.947
Day21_3	Day10_3	0.945
Day21_4	Day10_3	0.944
Day21_5	Day10_3	0.944
Day21_6	Day10_3	0.945
Day28_1	Day10_3	0.924
Day28_2	Day10_3	0.922
Day28_3	Day10_3	0.898
Day28_4	Day10_3	0.917
Day28_5	Day10_3	0.919
Day28_6	Day10_3	0.924
Day0_1	Day10_4	0.671
Day0_2	Day10_4	0.677
Day0_3	Day10_4	0.676
Day0_4	Day10_4	0.672
Day0_5	Day10_4	0.679
Day0_6	Day10_4	0.672
Day03_1	Day10_4	0.79
Day03_2	Day10_4	0.793
Day03_3	Day10_4	0.798
Day03_4	Day10_4	0.797
Day03_5	Day10_4	0.794
Day03_6	Day10_4	0.8
Day07_1	Day10_4	0.928
Day07_2	Day10_4	0.945
Day07_3	Day10_4	0.955
Day07_4	Day10_4	0.953
Day07_5	Day10_4	0.956
Day07_6	Day10_4	0.943
Day10_1	Day10_4	0.985
Day10_2	Day10_4	0.986
Day10_3	Day10_4	0.975
Day10_4	Day10_4	1
Day10_5	Day10_4	0.965
Day10_6	Day10_4	0.986
Day14_1	Day10_4	0.972
Day14_2	Day10_4	0.973
Day14_3	Day10_4	0.972
Day14_4	Day10_4	0.974
Day14_5	Day10_4	0.971
Day14_6	Day10_4	0.967
Day21_1	Day10_4	0.954
Day21_2	Day10_4	0.949
Day21_3	Day10_4	0.952
Day21_4	Day10_4	0.949
Day21_5	Day10_4	0.95
Day21_6	Day10_4	0.954
Day28_1	Day10_4	0.92
Day28_2	Day10_4	0.918
Day28_3	Day10_4	0.894
Day28_4	Day10_4	0.915
Day28_5	Day10_4	0.907
Day28_6	Day10_4	0.919
Day0_1	Day10_5	0.66
Day0_2	Day10_5	0.663
Day0_3	Day10_5	0.659
Day0_4	Day10_5	0.656
Day0_5	Day10_5	0.662
Day0_6	Day10_5	0.658
Day03_1	Day10_5	0.768
Day03_2	Day10_5	0.773
Day03_3	Day10_5	0.771
Day03_4	Day10_5	0.773
Day03_5	Day10_5	0.777
Day03_6	Day10_5	0.769
Day07_1	Day10_5	0.904
Day07_2	Day10_5	0.918
Day07_3	Day10_5	0.924
Day07_4	Day10_5	0.923
Day07_5	Day10_5	0.93
Day07_6	Day10_5	0.92
Day10_1	Day10_5	0.964
Day10_2	Day10_5	0.963
Day10_3	Day10_5	0.961
Day10_4	Day10_5	0.965
Day10_5	Day10_5	1
Day10_6	Day10_5	0.964
Day14_1	Day10_5	0.954
Day14_2	Day10_5	0.955
Day14_3	Day10_5	0.955
Day14_4	Day10_5	0.954
Day14_5	Day10_5	0.951
Day14_6	Day10_5	0.947
Day21_1	Day10_5	0.935
Day21_2	Day10_5	0.934
Day21_3	Day10_5	0.934
Day21_4	Day10_5	0.932
Day21_5	Day10_5	0.933
Day21_6	Day10_5	0.936
Day28_1	Day10_5	0.907
Day28_2	Day10_5	0.905
Day28_3	Day10_5	0.88
Day28_4	Day10_5	0.903
Day28_5	Day10_5	0.9
Day28_6	Day10_5	0.909
Day0_1	Day10_6	0.664
Day0_2	Day10_6	0.671
Day0_3	Day10_6	0.669
Day0_4	Day10_6	0.664
Day0_5	Day10_6	0.672
Day0_6	Day10_6	0.664
Day03_1	Day10_6	0.782
Day03_2	Day10_6	0.784
Day03_3	Day10_6	0.786
Day03_4	Day10_6	0.787
Day03_5	Day10_6	0.785
Day03_6	Day10_6	0.786
Day07_1	Day10_6	0.921
Day07_2	Day10_6	0.936
Day07_3	Day10_6	0.948
Day07_4	Day10_6	0.945
Day07_5	Day10_6	0.953
Day07_6	Day10_6	0.934
Day10_1	Day10_6	0.987
Day10_2	Day10_6	0.984
Day10_3	Day10_6	0.976
Day10_4	Day10_6	0.986
Day10_5	Day10_6	0.964
Day10_6	Day10_6	1
Day14_1	Day10_6	0.973
Day14_2	Day10_6	0.974
Day14_3	Day10_6	0.974
Day14_4	Day10_6	0.977
Day14_5	Day10_6	0.973
Day14_6	Day10_6	0.967
Day21_1	Day10_6	0.956
Day21_2	Day10_6	0.95
Day21_3	Day10_6	0.954
Day21_4	Day10_6	0.95
Day21_5	Day10_6	0.953
Day21_6	Day10_6	0.955
Day28_1	Day10_6	0.922
Day28_2	Day10_6	0.919
Day28_3	Day10_6	0.89
Day28_4	Day10_6	0.918
Day28_5	Day10_6	0.908
Day28_6	Day10_6	0.924
Day0_1	Day14_1	0.622
Day0_2	Day14_1	0.621
Day0_3	Day14_1	0.621
Day0_4	Day14_1	0.617
Day0_5	Day14_1	0.624
Day0_6	Day14_1	0.614
Day03_1	Day14_1	0.721
Day03_2	Day14_1	0.724
Day03_3	Day14_1	0.732
Day03_4	Day14_1	0.727
Day03_5	Day14_1	0.73
Day03_6	Day14_1	0.732
Day07_1	Day14_1	0.884
Day07_2	Day14_1	0.897
Day07_3	Day14_1	0.913
Day07_4	Day14_1	0.904
Day07_5	Day14_1	0.91
Day07_6	Day14_1	0.895
Day10_1	Day14_1	0.972
Day10_2	Day14_1	0.972
Day10_3	Day14_1	0.964
Day10_4	Day14_1	0.972
Day10_5	Day14_1	0.954
Day10_6	Day14_1	0.973
Day14_1	Day14_1	1
Day14_2	Day14_1	0.987
Day14_3	Day14_1	0.986
Day14_4	Day14_1	0.983
Day14_5	Day14_1	0.984
Day14_6	Day14_1	0.975
Day21_1	Day14_1	0.977
Day21_2	Day14_1	0.97
Day21_3	Day14_1	0.978
Day21_4	Day14_1	0.972
Day21_5	Day14_1	0.972
Day21_6	Day14_1	0.975
Day28_1	Day14_1	0.95
Day28_2	Day14_1	0.947
Day28_3	Day14_1	0.912
Day28_4	Day14_1	0.945
Day28_5	Day14_1	0.939
Day28_6	Day14_1	0.952
Day0_1	Day14_2	0.617
Day0_2	Day14_2	0.617
Day0_3	Day14_2	0.617
Day0_4	Day14_2	0.613
Day0_5	Day14_2	0.619
Day0_6	Day14_2	0.611
Day03_1	Day14_2	0.718
Day03_2	Day14_2	0.721
Day03_3	Day14_2	0.729
Day03_4	Day14_2	0.725
Day03_5	Day14_2	0.728
Day03_6	Day14_2	0.728
Day07_1	Day14_2	0.883
Day07_2	Day14_2	0.897
Day07_3	Day14_2	0.912
Day07_4	Day14_2	0.904
Day07_5	Day14_2	0.91
Day07_6	Day14_2	0.897
Day10_1	Day14_2	0.972
Day10_2	Day14_2	0.972
Day10_3	Day14_2	0.965
Day10_4	Day14_2	0.973
Day10_5	Day14_2	0.955
Day10_6	Day14_2	0.974
Day14_1	Day14_2	0.987
Day14_2	Day14_2	1
Day14_3	Day14_2	0.985
Day14_4	Day14_2	0.983
Day14_5	Day14_2	0.983
Day14_6	Day14_2	0.975
Day21_1	Day14_2	0.978
Day21_2	Day14_2	0.971
Day21_3	Day14_2	0.976
Day21_4	Day14_2	0.972
Day21_5	Day14_2	0.975
Day21_6	Day14_2	0.975
Day28_1	Day14_2	0.95
Day28_2	Day14_2	0.946
Day28_3	Day14_2	0.911
Day28_4	Day14_2	0.945
Day28_5	Day14_2	0.939
Day28_6	Day14_2	0.952
Day0_1	Day14_3	0.62
Day0_2	Day14_3	0.625
Day0_3	Day14_3	0.624
Day0_4	Day14_3	0.617
Day0_5	Day14_3	0.625
Day0_6	Day14_3	0.618
Day03_1	Day14_3	0.728
Day03_2	Day14_3	0.731
Day03_3	Day14_3	0.737
Day03_4	Day14_3	0.733
Day03_5	Day14_3	0.733
Day03_6	Day14_3	0.737
Day07_1	Day14_3	0.892
Day07_2	Day14_3	0.904
Day07_3	Day14_3	0.92
Day07_4	Day14_3	0.911
Day07_5	Day14_3	0.918
Day07_6	Day14_3	0.904
Day10_1	Day14_3	0.976
Day10_2	Day14_3	0.974
Day10_3	Day14_3	0.966
Day10_4	Day14_3	0.972
Day10_5	Day14_3	0.955
Day10_6	Day14_3	0.974
Day14_1	Day14_3	0.986
Day14_2	Day14_3	0.985
Day14_3	Day14_3	1
Day14_4	Day14_3	0.987
Day14_5	Day14_3	0.987
Day14_6	Day14_3	0.979
Day21_1	Day14_3	0.98
Day21_2	Day14_3	0.972
Day21_3	Day14_3	0.978
Day21_4	Day14_3	0.974
Day21_5	Day14_3	0.975
Day21_6	Day14_3	0.976
Day28_1	Day14_3	0.95
Day28_2	Day14_3	0.947
Day28_3	Day14_3	0.912
Day28_4	Day14_3	0.945
Day28_5	Day14_3	0.938
Day28_6	Day14_3	0.954
Day0_1	Day14_4	0.623
Day0_2	Day14_4	0.631
Day0_3	Day14_4	0.631
Day0_4	Day14_4	0.622
Day0_5	Day14_4	0.632
Day0_6	Day14_4	0.626
Day03_1	Day14_4	0.736
Day03_2	Day14_4	0.739
Day03_3	Day14_4	0.743
Day03_4	Day14_4	0.741
Day03_5	Day14_4	0.737
Day03_6	Day14_4	0.745
Day07_1	Day14_4	0.897
Day07_2	Day14_4	0.912
Day07_3	Day14_4	0.924
Day07_4	Day14_4	0.919
Day07_5	Day14_4	0.923
Day07_6	Day14_4	0.909
Day10_1	Day14_4	0.977
Day10_2	Day14_4	0.976
Day10_3	Day14_4	0.965
Day10_4	Day14_4	0.974
Day10_5	Day14_4	0.954
Day10_6	Day14_4	0.977
Day14_1	Day14_4	0.983
Day14_2	Day14_4	0.983
Day14_3	Day14_4	0.987
Day14_4	Day14_4	1
Day14_5	Day14_4	0.986
Day14_6	Day14_4	0.981
Day21_1	Day14_4	0.979
Day21_2	Day14_4	0.972
Day21_3	Day14_4	0.977
Day21_4	Day14_4	0.973
Day21_5	Day14_4	0.973
Day21_6	Day14_4	0.975
Day28_1	Day14_4	0.949
Day28_2	Day14_4	0.944
Day28_3	Day14_4	0.916
Day28_4	Day14_4	0.945
Day28_5	Day14_4	0.937
Day28_6	Day14_4	0.951
Day0_1	Day14_5	0.615
Day0_2	Day14_5	0.623
Day0_3	Day14_5	0.622
Day0_4	Day14_5	0.615
Day0_5	Day14_5	0.625
Day0_6	Day14_5	0.618
Day03_1	Day14_5	0.728
Day03_2	Day14_5	0.731
Day03_3	Day14_5	0.738
Day03_4	Day14_5	0.733
Day03_5	Day14_5	0.731
Day03_6	Day14_5	0.739
Day07_1	Day14_5	0.89
Day07_2	Day14_5	0.905
Day07_3	Day14_5	0.919
Day07_4	Day14_5	0.911
Day07_5	Day14_5	0.916
Day07_6	Day14_5	0.904
Day10_1	Day14_5	0.972
Day10_2	Day14_5	0.974
Day10_3	Day14_5	0.963
Day10_4	Day14_5	0.971
Day10_5	Day14_5	0.951
Day10_6	Day14_5	0.973
Day14_1	Day14_5	0.984
Day14_2	Day14_5	0.983
Day14_3	Day14_5	0.987
Day14_4	Day14_5	0.986
Day14_5	Day14_5	1
Day14_6	Day14_5	0.982
Day21_1	Day14_5	0.979
Day21_2	Day14_5	0.971
Day21_3	Day14_5	0.978
Day21_4	Day14_5	0.972
Day21_5	Day14_5	0.973
Day21_6	Day14_5	0.975
Day28_1	Day14_5	0.95
Day28_2	Day14_5	0.945
Day28_3	Day14_5	0.916
Day28_4	Day14_5	0.944
Day28_5	Day14_5	0.936
Day28_6	Day14_5	0.952
Day0_1	Day14_6	0.609
Day0_2	Day14_6	0.62
Day0_3	Day14_6	0.618
Day0_4	Day14_6	0.611
Day0_5	Day14_6	0.621
Day0_6	Day14_6	0.618
Day03_1	Day14_6	0.728
Day03_2	Day14_6	0.732
Day03_3	Day14_6	0.737
Day03_4	Day14_6	0.733
Day03_5	Day14_6	0.727
Day03_6	Day14_6	0.736
Day07_1	Day14_6	0.893
Day07_2	Day14_6	0.909
Day07_3	Day14_6	0.916
Day07_4	Day14_6	0.909
Day07_5	Day14_6	0.912
Day07_6	Day14_6	0.908
Day10_1	Day14_6	0.966
Day10_2	Day14_6	0.97
Day10_3	Day14_6	0.962
Day10_4	Day14_6	0.967
Day10_5	Day14_6	0.947
Day10_6	Day14_6	0.967
Day14_1	Day14_6	0.975
Day14_2	Day14_6	0.975
Day14_3	Day14_6	0.979
Day14_4	Day14_6	0.981
Day14_5	Day14_6	0.982
Day14_6	Day14_6	1
Day21_1	Day14_6	0.972
Day21_2	Day14_6	0.974
Day21_3	Day14_6	0.971
Day21_4	Day14_6	0.97
Day21_5	Day14_6	0.969
Day21_6	Day14_6	0.97
Day28_1	Day14_6	0.949
Day28_2	Day14_6	0.946
Day28_3	Day14_6	0.924
Day28_4	Day14_6	0.944
Day28_5	Day14_6	0.939
Day28_6	Day14_6	0.951
Day0_1	Day21_1	0.597
Day0_2	Day21_1	0.603
Day0_3	Day21_1	0.602
Day0_4	Day21_1	0.594
Day0_5	Day21_1	0.603
Day0_6	Day21_1	0.597
Day03_1	Day21_1	0.702
Day03_2	Day21_1	0.704
Day03_3	Day21_1	0.711
Day03_4	Day21_1	0.706
Day03_5	Day21_1	0.705
Day03_6	Day21_1	0.713
Day07_1	Day21_1	0.873
Day07_2	Day21_1	0.885
Day07_3	Day21_1	0.899
Day07_4	Day21_1	0.891
Day07_5	Day21_1	0.894
Day07_6	Day21_1	0.884
Day10_1	Day21_1	0.957
Day10_2	Day21_1	0.956
Day10_3	Day21_1	0.946
Day10_4	Day21_1	0.954
Day10_5	Day21_1	0.935
Day10_6	Day21_1	0.956
Day14_1	Day21_1	0.977
Day14_2	Day21_1	0.978
Day14_3	Day21_1	0.98
Day14_4	Day21_1	0.979
Day14_5	Day21_1	0.979
Day14_6	Day21_1	0.972
Day21_1	Day21_1	1
Day21_2	Day21_1	0.981
Day21_3	Day21_1	0.987
Day21_4	Day21_1	0.982
Day21_5	Day21_1	0.985
Day21_6	Day21_1	0.985
Day28_1	Day21_1	0.964
Day28_2	Day21_1	0.959
Day28_3	Day21_1	0.926
Day28_4	Day21_1	0.961
Day28_5	Day21_1	0.952
Day28_6	Day21_1	0.967
Day0_1	Day21_2	0.587
Day0_2	Day21_2	0.599
Day0_3	Day21_2	0.594
Day0_4	Day21_2	0.587
Day0_5	Day21_2	0.597
Day0_6	Day21_2	0.595
Day03_1	Day21_2	0.696
Day03_2	Day21_2	0.701
Day03_3	Day21_2	0.703
Day03_4	Day21_2	0.701
Day03_5	Day21_2	0.698
Day03_6	Day21_2	0.703
Day07_1	Day21_2	0.87
Day07_2	Day21_2	0.887
Day07_3	Day21_2	0.89
Day07_4	Day21_2	0.884
Day07_5	Day21_2	0.888
Day07_6	Day21_2	0.886
Day10_1	Day21_2	0.95
Day10_2	Day21_2	0.952
Day10_3	Day21_2	0.947
Day10_4	Day21_2	0.949
Day10_5	Day21_2	0.934
Day10_6	Day21_2	0.95
Day14_1	Day21_2	0.97
Day14_2	Day21_2	0.971
Day14_3	Day21_2	0.972
Day14_4	Day21_2	0.972
Day14_5	Day21_2	0.971
Day14_6	Day21_2	0.974
Day21_1	Day21_2	0.981
Day21_2	Day21_2	1
Day21_3	Day21_2	0.98
Day21_4	Day21_2	0.982
Day21_5	Day21_2	0.982
Day21_6	Day21_2	0.982
Day28_1	Day21_2	0.968
Day28_2	Day21_2	0.964
Day28_3	Day21_2	0.936
Day28_4	Day21_2	0.964
Day28_5	Day21_2	0.959
Day28_6	Day21_2	0.971
Day0_1	Day21_3	0.589
Day0_2	Day21_3	0.594
Day0_3	Day21_3	0.593
Day0_4	Day21_3	0.586
Day0_5	Day21_3	0.594
Day0_6	Day21_3	0.588
Day03_1	Day21_3	0.689
Day03_2	Day21_3	0.692
Day03_3	Day21_3	0.704
Day03_4	Day21_3	0.695
Day03_5	Day21_3	0.695
Day03_6	Day21_3	0.707
Day07_1	Day21_3	0.867
Day07_2	Day21_3	0.879
Day07_3	Day21_3	0.896
Day07_4	Day21_3	0.883
Day07_5	Day21_3	0.886
Day07_6	Day21_3	0.877
Day10_1	Day21_3	0.954
Day10_2	Day21_3	0.955
Day10_3	Day21_3	0.945
Day10_4	Day21_3	0.952
Day10_5	Day21_3	0.934
Day10_6	Day21_3	0.954
Day14_1	Day21_3	0.978
Day14_2	Day21_3	0.976
Day14_3	Day21_3	0.978
Day14_4	Day21_3	0.977
Day14_5	Day21_3	0.978
Day14_6	Day21_3	0.971
Day21_1	Day21_3	0.987
Day21_2	Day21_3	0.98
Day21_3	Day21_3	1
Day21_4	Day21_3	0.983
Day21_5	Day21_3	0.984
Day21_6	Day21_3	0.985
Day28_1	Day21_3	0.965
Day28_2	Day21_3	0.961
Day28_3	Day21_3	0.927
Day28_4	Day21_3	0.961
Day28_5	Day21_3	0.953
Day28_6	Day21_3	0.968
Day0_1	Day21_4	0.587
Day0_2	Day21_4	0.595
Day0_3	Day21_4	0.591
Day0_4	Day21_4	0.584
Day0_5	Day21_4	0.593
Day0_6	Day21_4	0.589
Day03_1	Day21_4	0.689
Day03_2	Day21_4	0.694
Day03_3	Day21_4	0.7
Day03_4	Day21_4	0.695
Day03_5	Day21_4	0.695
Day03_6	Day21_4	0.701
Day07_1	Day21_4	0.867
Day07_2	Day21_4	0.881
Day07_3	Day21_4	0.89
Day07_4	Day21_4	0.881
Day07_5	Day21_4	0.886
Day07_6	Day21_4	0.879
Day10_1	Day21_4	0.95
Day10_2	Day21_4	0.952
Day10_3	Day21_4	0.944
Day10_4	Day21_4	0.949
Day10_5	Day21_4	0.932
Day10_6	Day21_4	0.95
Day14_1	Day21_4	0.972
Day14_2	Day21_4	0.972
Day14_3	Day21_4	0.974
Day14_4	Day21_4	0.973
Day14_5	Day21_4	0.972
Day14_6	Day21_4	0.97
Day21_1	Day21_4	0.982
Day21_2	Day21_4	0.982
Day21_3	Day21_4	0.983
Day21_4	Day21_4	1
Day21_5	Day21_4	0.984
Day21_6	Day21_4	0.984
Day28_1	Day21_4	0.967
Day28_2	Day21_4	0.963
Day28_3	Day21_4	0.932
Day28_4	Day21_4	0.964
Day28_5	Day21_4	0.956
Day28_6	Day21_4	0.97
Day0_1	Day21_5	0.592
Day0_2	Day21_5	0.598
Day0_3	Day21_5	0.595
Day0_4	Day21_5	0.59
Day0_5	Day21_5	0.597
Day0_6	Day21_5	0.592
Day03_1	Day21_5	0.692
Day03_2	Day21_5	0.695
Day03_3	Day21_5	0.7
Day03_4	Day21_5	0.699
Day03_5	Day21_5	0.7
Day03_6	Day21_5	0.703
Day07_1	Day21_5	0.864
Day07_2	Day21_5	0.879
Day07_3	Day21_5	0.89
Day07_4	Day21_5	0.882
Day07_5	Day21_5	0.887
Day07_6	Day21_5	0.877
Day10_1	Day21_5	0.952
Day10_2	Day21_5	0.952
Day10_3	Day21_5	0.944
Day10_4	Day21_5	0.95
Day10_5	Day21_5	0.933
Day10_6	Day21_5	0.953
Day14_1	Day21_5	0.972
Day14_2	Day21_5	0.975
Day14_3	Day21_5	0.975
Day14_4	Day21_5	0.973
Day14_5	Day21_5	0.973
Day14_6	Day21_5	0.969
Day21_1	Day21_5	0.985
Day21_2	Day21_5	0.982
Day21_3	Day21_5	0.984
Day21_4	Day21_5	0.984
Day21_5	Day21_5	1
Day21_6	Day21_5	0.987
Day28_1	Day21_5	0.966
Day28_2	Day21_5	0.964
Day28_3	Day21_5	0.93
Day28_4	Day21_5	0.963
Day28_5	Day21_5	0.953
Day28_6	Day21_5	0.97
Day0_1	Day21_6	0.594
Day0_2	Day21_6	0.6
Day0_3	Day21_6	0.598
Day0_4	Day21_6	0.592
Day0_5	Day21_6	0.599
Day0_6	Day21_6	0.594
Day03_1	Day21_6	0.694
Day03_2	Day21_6	0.698
Day03_3	Day21_6	0.704
Day03_4	Day21_6	0.702
Day03_5	Day21_6	0.702
Day03_6	Day21_6	0.706
Day07_1	Day21_6	0.868
Day07_2	Day21_6	0.884
Day07_3	Day21_6	0.893
Day07_4	Day21_6	0.886
Day07_5	Day21_6	0.891
Day07_6	Day21_6	0.88
Day10_1	Day21_6	0.953
Day10_2	Day21_6	0.954
Day10_3	Day21_6	0.945
Day10_4	Day21_6	0.954
Day10_5	Day21_6	0.936
Day10_6	Day21_6	0.955
Day14_1	Day21_6	0.975
Day14_2	Day21_6	0.975
Day14_3	Day21_6	0.976
Day14_4	Day21_6	0.975
Day14_5	Day21_6	0.975
Day14_6	Day21_6	0.97
Day21_1	Day21_6	0.985
Day21_2	Day21_6	0.982
Day21_3	Day21_6	0.985
Day21_4	Day21_6	0.984
Day21_5	Day21_6	0.987
Day21_6	Day21_6	1
Day28_1	Day21_6	0.967
Day28_2	Day21_6	0.964
Day28_3	Day21_6	0.93
Day28_4	Day21_6	0.963
Day28_5	Day21_6	0.954
Day28_6	Day21_6	0.969
Day0_1	Day28_1	0.578
Day0_2	Day28_1	0.589
Day0_3	Day28_1	0.585
Day0_4	Day28_1	0.573
Day0_5	Day28_1	0.586
Day0_6	Day28_1	0.583
Day03_1	Day28_1	0.667
Day03_2	Day28_1	0.673
Day03_3	Day28_1	0.677
Day03_4	Day28_1	0.675
Day03_5	Day28_1	0.673
Day03_6	Day28_1	0.674
Day07_1	Day28_1	0.84
Day07_2	Day28_1	0.847
Day07_3	Day28_1	0.854
Day07_4	Day28_1	0.848
Day07_5	Day28_1	0.853
Day07_6	Day28_1	0.85
Day10_1	Day28_1	0.921
Day10_2	Day28_1	0.923
Day10_3	Day28_1	0.924
Day10_4	Day28_1	0.92
Day10_5	Day28_1	0.907
Day10_6	Day28_1	0.922
Day14_1	Day28_1	0.95
Day14_2	Day28_1	0.95
Day14_3	Day28_1	0.95
Day14_4	Day28_1	0.949
Day14_5	Day28_1	0.95
Day14_6	Day28_1	0.949
Day21_1	Day28_1	0.964
Day21_2	Day28_1	0.968
Day21_3	Day28_1	0.965
Day21_4	Day28_1	0.967
Day21_5	Day28_1	0.966
Day21_6	Day28_1	0.967
Day28_1	Day28_1	1
Day28_2	Day28_1	0.98
Day28_3	Day28_1	0.951
Day28_4	Day28_1	0.977
Day28_5	Day28_1	0.972
Day28_6	Day28_1	0.982
Day0_1	Day28_2	0.579
Day0_2	Day28_2	0.589
Day0_3	Day28_2	0.584
Day0_4	Day28_2	0.573
Day0_5	Day28_2	0.585
Day0_6	Day28_2	0.583
Day03_1	Day28_2	0.666
Day03_2	Day28_2	0.672
Day03_3	Day28_2	0.675
Day03_4	Day28_2	0.674
Day03_5	Day28_2	0.672
Day03_6	Day28_2	0.673
Day07_1	Day28_2	0.838
Day07_2	Day28_2	0.847
Day07_3	Day28_2	0.85
Day07_4	Day28_2	0.843
Day07_5	Day28_2	0.85
Day07_6	Day28_2	0.85
Day10_1	Day28_2	0.918
Day10_2	Day28_2	0.919
Day10_3	Day28_2	0.922
Day10_4	Day28_2	0.918
Day10_5	Day28_2	0.905
Day10_6	Day28_2	0.919
Day14_1	Day28_2	0.947
Day14_2	Day28_2	0.946
Day14_3	Day28_2	0.947
Day14_4	Day28_2	0.944
Day14_5	Day28_2	0.945
Day14_6	Day28_2	0.946
Day21_1	Day28_2	0.959
Day21_2	Day28_2	0.964
Day21_3	Day28_2	0.961
Day21_4	Day28_2	0.963
Day21_5	Day28_2	0.964
Day21_6	Day28_2	0.964
Day28_1	Day28_2	0.98
Day28_2	Day28_2	1
Day28_3	Day28_2	0.95
Day28_4	Day28_2	0.974
Day28_5	Day28_2	0.968
Day28_6	Day28_2	0.98
Day0_1	Day28_3	0.566
Day0_2	Day28_3	0.586
Day0_3	Day28_3	0.58
Day0_4	Day28_3	0.567
Day0_5	Day28_3	0.58
Day0_6	Day28_3	0.583
Day03_1	Day28_3	0.666
Day03_2	Day28_3	0.674
Day03_3	Day28_3	0.673
Day03_4	Day28_3	0.677
Day03_5	Day28_3	0.663
Day03_6	Day28_3	0.672
Day07_1	Day28_3	0.843
Day07_2	Day28_3	0.839
Day07_3	Day28_3	0.835
Day07_4	Day28_3	0.836
Day07_5	Day28_3	0.835
Day07_6	Day28_3	0.849
Day10_1	Day28_3	0.888
Day10_2	Day28_3	0.897
Day10_3	Day28_3	0.898
Day10_4	Day28_3	0.894
Day10_5	Day28_3	0.88
Day10_6	Day28_3	0.89
Day14_1	Day28_3	0.912
Day14_2	Day28_3	0.911
Day14_3	Day28_3	0.912
Day14_4	Day28_3	0.916
Day14_5	Day28_3	0.916
Day14_6	Day28_3	0.924
Day21_1	Day28_3	0.926
Day21_2	Day28_3	0.936
Day21_3	Day28_3	0.927
Day21_4	Day28_3	0.932
Day21_5	Day28_3	0.93
Day21_6	Day28_3	0.93
Day28_1	Day28_3	0.951
Day28_2	Day28_3	0.95
Day28_3	Day28_3	1
Day28_4	Day28_3	0.951
Day28_5	Day28_3	0.95
Day28_6	Day28_3	0.95
Day0_1	Day28_4	0.572
Day0_2	Day28_4	0.585
Day0_3	Day28_4	0.58
Day0_4	Day28_4	0.568
Day0_5	Day28_4	0.581
Day0_6	Day28_4	0.58
Day03_1	Day28_4	0.663
Day03_2	Day28_4	0.669
Day03_3	Day28_4	0.671
Day03_4	Day28_4	0.668
Day03_5	Day28_4	0.664
Day03_6	Day28_4	0.668
Day07_1	Day28_4	0.835
Day07_2	Day28_4	0.844
Day07_3	Day28_4	0.85
Day07_4	Day28_4	0.845
Day07_5	Day28_4	0.847
Day07_6	Day28_4	0.847
Day10_1	Day28_4	0.917
Day10_2	Day28_4	0.919
Day10_3	Day28_4	0.917
Day10_4	Day28_4	0.915
Day10_5	Day28_4	0.903
Day10_6	Day28_4	0.918
Day14_1	Day28_4	0.945
Day14_2	Day28_4	0.945
Day14_3	Day28_4	0.945
Day14_4	Day28_4	0.945
Day14_5	Day28_4	0.944
Day14_6	Day28_4	0.944
Day21_1	Day28_4	0.961
Day21_2	Day28_4	0.964
Day21_3	Day28_4	0.961
Day21_4	Day28_4	0.964
Day21_5	Day28_4	0.963
Day21_6	Day28_4	0.963
Day28_1	Day28_4	0.977
Day28_2	Day28_4	0.974
Day28_3	Day28_4	0.951
Day28_4	Day28_4	1
Day28_5	Day28_4	0.972
Day28_6	Day28_4	0.98
Day0_1	Day28_5	0.57
Day0_2	Day28_5	0.579
Day0_3	Day28_5	0.574
Day0_4	Day28_5	0.563
Day0_5	Day28_5	0.576
Day0_6	Day28_5	0.573
Day03_1	Day28_5	0.657
Day03_2	Day28_5	0.665
Day03_3	Day28_5	0.664
Day03_4	Day28_5	0.661
Day03_5	Day28_5	0.659
Day03_6	Day28_5	0.66
Day07_1	Day28_5	0.834
Day07_2	Day28_5	0.834
Day07_3	Day28_5	0.838
Day07_4	Day28_5	0.833
Day07_5	Day28_5	0.837
Day07_6	Day28_5	0.844
Day10_1	Day28_5	0.909
Day10_2	Day28_5	0.91
Day10_3	Day28_5	0.919
Day10_4	Day28_5	0.907
Day10_5	Day28_5	0.9
Day10_6	Day28_5	0.908
Day14_1	Day28_5	0.939
Day14_2	Day28_5	0.939
Day14_3	Day28_5	0.938
Day14_4	Day28_5	0.937
Day14_5	Day28_5	0.936
Day14_6	Day28_5	0.939
Day21_1	Day28_5	0.952
Day21_2	Day28_5	0.959
Day21_3	Day28_5	0.953
Day21_4	Day28_5	0.956
Day21_5	Day28_5	0.953
Day21_6	Day28_5	0.954
Day28_1	Day28_5	0.972
Day28_2	Day28_5	0.968
Day28_3	Day28_5	0.95
Day28_4	Day28_5	0.972
Day28_5	Day28_5	1
Day28_6	Day28_5	0.976
Day0_1	Day28_6	0.572
Day0_2	Day28_6	0.583
Day0_3	Day28_6	0.579
Day0_4	Day28_6	0.569
Day0_5	Day28_6	0.581
Day0_6	Day28_6	0.577
Day03_1	Day28_6	0.661
Day03_2	Day28_6	0.667
Day03_3	Day28_6	0.669
Day03_4	Day28_6	0.667
Day03_5	Day28_6	0.665
Day03_6	Day28_6	0.667
Day07_1	Day28_6	0.836
Day07_2	Day28_6	0.845
Day07_3	Day28_6	0.852
Day07_4	Day28_6	0.845
Day07_5	Day28_6	0.851
Day07_6	Day28_6	0.848
Day10_1	Day28_6	0.922
Day10_2	Day28_6	0.923
Day10_3	Day28_6	0.924
Day10_4	Day28_6	0.919
Day10_5	Day28_6	0.909
Day10_6	Day28_6	0.924
Day14_1	Day28_6	0.952
