SampleA	SampleB	Spearman
Day03_1	Day0_5	0.892
Day03_2	Day0_5	0.887
Day03_3	Day0_5	0.882
Day03_4	Day0_5	0.878
Day03_5	Day0_5	0.879
Day03_6	Day0_5	0.875
Day07_1	Day0_5	0.708
Day07_2	Day0_5	0.716
Day07_3	Day0_5	0.728
Day07_4	Day0_5	0.735
Day07_5	Day0_5	0.732
Day07_6	Day0_5	0.721
Day10_1	Day0_5	0.677
Day10_2	Day0_5	0.672
Day10_3	Day0_5	0.665
Day10_4	Day0_5	0.679
Day10_5	Day0_5	0.662
Day10_6	Day0_5	0.672
Day14_1	Day0_5	0.624
Day14_2	Day0_5	0.619
Day14_3	Day0_5	0.625
Day14_4	Day0_5	0.632
Day14_5	Day0_5	0.625
Day14_6	Day0_5	0.621
Day21_1	Day0_5	0.603
Day21_2	Day0_5	0.597
Day21_3	Day0_5	0.594
Day21_4	Day0_5	0.593
Day21_5	Day0_5	0.597
Day21_6	Day0_5	0.599
Day28_1	Day0_5	0.586
Day28_2	Day0_5	0.585
Day28_3	Day0_5	0.58
Day28_4	Day0_5	0.581
Day28_5	Day0_5	0.576
Day28_6	Day0_5	0.581
Day0_1	Day0_6	0.961
Day0_2	Day0_6	0.986
Day0_3	Day0_6	0.984
Day0_4	Day0_6	0.974
Day0_5	Day0_6	0.984
Day0_6	Day0_6	1
Day03_1	Day0_6	0.893
Day03_2	Day0_6	0.888
Day03_3	Day0_6	0.877
Day03_4	Day0_6	0.877
Day03_5	Day0_6	0.872
Day03_6	Day0_6	0.869
Day07_1	Day0_6	0.71
Day07_2	Day0_6	0.719
Day07_3	Day0_6	0.725
Day07_4	Day0_6	0.733
Day07_5	Day0_6	0.728
Day07_6	Day0_6	0.725
Day10_1	Day0_6	0.67
Day10_2	Day0_6	0.667
Day10_3	Day0_6	0.661
Day10_4	Day0_6	0.672
Day10_5	Day0_6	0.658
Day10_6	Day0_6	0.664
Day14_1	Day0_6	0.614
Day14_2	Day0_6	0.611
Day14_3	Day0_6	0.618
Day14_4	Day0_6	0.626
Day14_5	Day0_6	0.618
