cohort,Group Name,age,Subject or Animal ID,sex,strain,Location,Preparation batch,MS sample label,MS Run Label,,sample
C1,SLAM,12,180,M,B6,URL:SLAM 4-Shelf 3-Rack 17 Box 1010,Batch 1,42,SLAM_42_180.raw,,SLAM_42
C10,SLAM,21,1966,M,B6,URL:SLAM 3-Shelf 1-Rack 4  Box 91,Batch 2,43,SLAM_43_1966.raw,,SLAM_43
C2,SLAM,6,314,F,B6,URL:SLAM 4-Shelf 3-Rack 13 Box 924,Batch 1,44,SLAM_44_314.raw,,SLAM_44
C5,SLAM,6,803,F,HET3,URL:SLAM 4-Shelf 1-Rack 2  Box 632,Batch 1,45,SLAM_45_803raw,,SLAM_45
C5,SLAM,6,1015,M,B6,URL:SLAM 4-Shelf 1-Rack 2  Box 632,Batch 1,46,SLAM_46_1015.raw,,SLAM_46
C2,SLAM,6,295,M,HET3,URL:SLAM 4-Shelf 3-Rack 13 Box 924,Batch 1,47,SLAM_47_295.raw,,SLAM_47
C1,SLAM,12,113,F,B6,URL:SLAM 4-Shelf 3-Rack 17 Box 1010,Batch 1,48,SLAM_48_113.raw,,SLAM_48
C6,SLAM,12,1141,M,HET3,URL:SLAM 3-Shelf 4-Rack 22 Box 543,Batch 2,49,SLAM_49_1141.raw,,SLAM_49
C16,SLAM,18,3286,F,B6,URL:SLAM 1-Shelf 1-Rack 6 Box 1339,Batch 2,50,SLAM_50_3286.raw,,SLAM_50
C6,SLAM,12,1071,F,HET3,URL:SLAM 3-Shelf 4-Rack 22 Box 543,Batch 1,51,SLAM_51_1071.raw,,SLAM_51
C8,SLAM,18,1557,F,HET3,URL:SLAM 3-Shelf 3-Rack 13 Box 308,Batch 2,52,SLAM_52_1557.raw,,SLAM_52
C16,SLAM,18,3336,M,B6,URL:SLAM 1-Shelf 1-Rack 6 Box 1339,Batch 2,53,SLAM_53_3336.raw,,SLAM_53
C8,SLAM,18,1605,M,HET3,URL:SLAM 3-Shelf 3-Rack 13 Box 308,Batch 2,54,SLAM_54_1605.raw,,SLAM_54
C10,SLAM,21,2028,F,B6,URL:SLAM 3-Shelf 1-Rack 4  Box 91,Batch 2,55,SLAM_55_2028.raw,,SLAM_55
C8,SLAM,24,1537,F,HET3,URL:SLAM 3-Shelf 3-Rack 13 Box 322,Batch 2,56,SLAM_56_1537.raw,,SLAM_56
C8,SLAM,24,1574,M,HET3,URL:SLAM 3-Shelf 3-Rack 13 Box 322,Batch 2,57,SLAM_57_1574.raw,,SLAM_57
C10,SLAM,25,1945,M,B6,URL:SLAM 3-Shelf 1-Rack 5  Box 102,Batch 2,58,SLAM_58_1945.raw,,SLAM_58
C9,SLAM,30,1842,F,B6,URL:SLAM 3-Shelf 2-Rack 9 Box 221,Batch 2,59,SLAM_59_1842.raw,,SLAM_59
C7,SLAM,30,1328,F,HET3,URL:SLAM 3-Shelf 3-Rack 18 Box 434,Batch 2,60,SLAM_60_1328.raw,,SLAM_60
C6,SLAM,34,1119,M,HET3,URL:SLAM 3-Shelf 4-Rack 23 Box 553,Batch 2,61,SLAM_61_1119.raw,,SLAM_61
C5,SLAM,6,933,F,B6,URL:SLAM 4-Shelf 1-Rack 2  Box 632,Batch 2,62,SLAM_62_933.raw,,SLAM_62
C5,SLAM,6,817,F,HET3,URL:SLAM 4-Shelf 1-Rack 2  Box 632,Batch 2,63,SLAM_63_817.raw,,SLAM_63
C5,SLAM,6,999,M,B6,URL:SLAM 4-Shelf 1-Rack 2  Box 632,Batch 2,64,SLAM_64_999.raw,,SLAM_64
C5,SLAM,6,869,M,HET3,URL:SLAM 4-Shelf 1-Rack 2  Box 632,Batch 2,65,SLAM_65_869.raw,,SLAM_65
C8,SLAM,18,1561,F,HET3,URL:SLAM 3-Shelf 3-Rack 13 Box 308,Batch 2,66,SLAM_66_1561.raw,,SLAM_66
