Sample	N
Control_1	2001
Control_2	1959
Control_3	2090
Control_4	1950
Control_5	2680
Control_6	2288
UNC13A_WT_1	3206
UNC13A_WT_2	3235
UNC13A_WT_3	3225
UNC13A_WT_4	3217
UNC13A_WT_5	3233
UNC13A_WT_6	3223
