sample_name,condition,control
HREC_ETIS_1,HREC_ETIS,HREC_P
HREC_ETIS_2,HREC_ETIS,HREC_P
HREC_ETIS_3,HREC_ETIS,HREC_P
HREC_ETIS_4,HREC_ETIS,HREC_P
HREC_IRIS_1,HREC_IRIS,HREC_P
HREC_IRIS_2,HREC_IRIS,HREC_P
HREC_IRIS_3,HREC_IRIS,HREC_P
HREC_IRIS_4,HREC_IRIS,HREC_P
