PG.ProteinGroups,PG.Genes,[1] Control_1.raw.PG.Quantity,[2] Control_2.raw.PG.Quantity,[3] Control_3.raw.PG.Quantity,[4] Control_4.raw.PG.Quantity,[5] Control_5.raw.PG.Quantity,[6] Control_6.raw.PG.Quantity,[7] UNC13A_CE_1.raw.PG.Quantity,[8] UNC13A_CE_2.raw.PG.Quantity,[9] UNC13A_CE_3.raw.PG.Quantity,[10] UNC13A_CE_4.raw.PG.Quantity,[11] UNC13A_CE_5.raw.PG.Quantity,[12] UNC13A_CE_6.raw.PG.Quantity,[13] UNC13A_WT_1.raw.PG.Quantity,[14] UNC13A_WT_2.raw.PG.Quantity,[15] UNC13A_WT_3.raw.PG.Quantity,[16] UNC13A_WT_4.raw.PG.Quantity,[17] UNC13A_WT_5.raw.PG.Quantity,[18] UNC13A_WT_6.raw.PG.Quantity
A0A1B0GUS4;P68036,UBE2L5;UBE2L3,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,NaN,NaN,Filtered,Filtered,NaN,0.5816116333007812,NaN,NaN,NaN,NaN,NaN
A0A1B0GWG4,SERTM2,233.2950897216797,305.0821838378906,548.6148071289062,NaN,997.9993896484375,Filtered,3634.021240234375,6914.19775390625,4467.97314453125,6007.4384765625,7614.19140625,5537.087890625,5042.58642578125,7031.34375,6083.0771484375,6732.45654296875,8163.05908203125,5350.74072265625
A0AV96,RBM47,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,5031.36376953125,5221.4130859375,6915.97265625,4676.98486328125,4991.33056640625,5321.30517578125,3895.759765625,4538.837890625,4199.74267578125,4873.99658203125,4842.06689453125,6043.09033203125
A0FGR8,ESYT2,1431.9691162109375,1138.2679443359375,1229.7266845703125,1403.050537109375,3472.74560546875,2254.447509765625,19558.021484375,19394.859375,24093.400390625,19254.24609375,17984.908203125,16538.48828125,17742.30078125,19931.775390625,19786.869140625,18742.478515625,20073.130859375,18524.294921875
A0JLT2,MED19,NaN,NaN,NaN,NaN,NaN,Filtered,5375.69921875,4768.46484375,6172.68212890625,4654.123046875,5151.92138671875,4175.53271484375,2996.590087890625,4570.68212890625,4676.3603515625,3460.10595703125,4175.4921875,5133.744140625
A0PJW6,TMEM223,413.2609558105469,1339.695556640625,585.7437744140625,364.1673278808594,806.1082763671875,630.5022583007812,5284.25,5366.310546875,5078.97705078125,5177.416015625,3947.89892578125,2946.481689453125,2650.56005859375,3691.3662109375,3247.81005859375,3263.77783203125,4337.06884765625,3317.989501953125
A1L020,MEX3A,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,22265.51953125,18097.314453125,15977.884765625,24618.916015625,24973.779296875,19840.71484375,14922.421875,26186.578125,10044.7431640625,27599.64453125,22868.4296875,26753.142578125
A1L0T0,ILVBL,Filtered,Filtered,Filtered,Filtered,457.8240661621094,Filtered,1214.6434326171875,1345.2418212890625,1938.13623046875,1942.0367431640625,1476.250244140625,713.09326171875,1099.6109619140625,682.7177124023438,820.837158203125,682.5504150390625,987.2430419921875,1764.162841796875
A1X283,SH3PXD2B,Filtered,Filtered,Filtered,Filtered,1031.88427734375,Filtered,7171.52001953125,5120.1611328125,7793.61328125,3121.2841796875,3387.13720703125,2921.5068359375,3517.51220703125,2248.927734375,3983.743896484375,2609.42138671875,4131.57177734375,4580.150390625
A2A3N6,PIPSL,Filtered,Filtered,NaN,Filtered,Filtered,Filtered,21922.044921875,29841.26171875,29727.126953125,25329.021484375,23594.240234375,19961.8984375,18998.587890625,18401.767578125,18440.154296875,22179.544921875,22358.009765625,23130.05078125
A2RRP1,NBAS,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1291.178955078125,1156.7880859375,1593.787353515625,1757.053955078125,2145.22705078125,1226.806396484375,1250.8070068359375,1303.162841796875,1890.751220703125,1468.7330322265625,1201.236083984375,1883.5853271484375
A2VDJ0,TMEM131L,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1813.927490234375,2262.79296875,3155.605224609375,2879.7060546875,16333.5830078125,8805.2939453125,1131.7349853515625,2338.3974609375,2029.4354248046875,1774.0025634765625,1523.6634521484375,1701.1129150390625
A3KMH1,VWA8,Filtered,Filtered,Filtered,Filtered,99450.3671875,68440.9296875,9087.904296875,6097.88134765625,7776.63427734375,4426.1201171875,4605.13232421875,7557.9111328125,4921.2236328125,5453.96728515625,4932.50634765625,3611.21044921875,5559.27294921875,7683.12109375
A4D1E9,GTPBP10,1035.8970947265625,735.4258422851562,889.2044677734375,521.8277587890625,1547.802978515625,682.3855590820312,19926.076171875,19303.71875,24153.125,20719.138671875,18485.3828125,16094.65234375,14495.4609375,20275.8125,18094.4609375,18231.232421875,18875.984375,20734.080078125
A5YKK6,CNOT1,427.98248291015625,521.7811889648438,479.8572082519531,399.1102600097656,1174.812255859375,953.18359375,7314.9091796875,7401.3125,10055.4951171875,7267.89990234375,6801.35107421875,5732.45654296875,5956.9404296875,7239.0185546875,7895.24365234375,6603.29296875,6965.29638671875,7654.8984375
A6H8Y1,BDP1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,3095.235595703125,3274.43701171875,4019.861083984375,3183.01708984375,2260.687255859375,1687.4949951171875,2102.71484375,2085.60498046875,1667.9931640625,1620.57666015625,1894.2265625,1600.112060546875
A6NCE7;Q9GZQ8,MAP1LC3B2;MAP1LC3B,1790.350830078125,1217.301513671875,1721.0382080078125,1156.1339111328125,6498.1572265625,1261.2508544921875,14049.5380859375,15191.474609375,10858.83203125,9110.869140625,13826.8271484375,5985.74365234375,9744.0888671875,8134.71337890625,9478.8095703125,9977.57421875,10621.01171875,17613.501953125
A6ND36,FAM83G,508.3159484863281,935.4847412109375,Filtered,Filtered,1140.7010498046875,881.505615234375,6434.74169921875,6799.654296875,8679.4990234375,6917.00390625,6274.01611328125,5254.12646484375,5363.232421875,4088.8955078125,6085.1728515625,5499.80029296875,5952.5703125,6667.03759765625
A6NHL2,TUBAL3,Filtered,NaN,Filtered,NaN,1057.1741943359375,NaN,2041.4344482421875,1315.2794189453125,2933.552978515625,1247.2027587890625,1221.4742431640625,1537.855224609375,1106.480224609375,1997.7666015625,1342.5732421875,918.5704345703125,984.3190307617188,2219.67578125
A6NHR9,SMCHD1,1683.8917236328125,1199.2962646484375,1340.6143798828125,1491.8887939453125,1997.4305419921875,1078.207763671875,11731.2607421875,11421.76171875,13688.0302734375,12092.8994140625,10834.2880859375,9027.5126953125,9519.25390625,10578.5673828125,12080.873046875,10830.591796875,11470.654296875,11539.650390625
A6NJ78,METTL15,Filtered,NaN,Filtered,Filtered,Filtered,Filtered,7098.76416015625,5714.2431640625,8280.46875,7554.8056640625,8044.65185546875,5558.6337890625,5861.8388671875,7079.654296875,6561.66357421875,7021.349609375,6582.013671875,8906.3203125
A8CG34,POM121C,1139.715576171875,1076.7933349609375,1529.69287109375,1137.0135498046875,1408.293212890625,2436.486572265625,7333.80859375,7364.6845703125,8914.67578125,6793.77294921875,7412.34619140625,7845.26025390625,6967.0810546875,7182.13330078125,7349.9228515625,7656.05224609375,7527.17138671875,8864.0498046875
A8MWD9;P62308,SNRPGP15;SNRPG,1077.8076171875,1046.900634765625,1362.8277587890625,1563.743896484375,5466.37451171875,2139.53466796875,111318.859375,126564.0234375,150418.78125,106525.03125,116257.484375,108669.546875,67845.0625,112881.78125,120263.234375,95481.3203125,109921.3515625,117429.0390625
B0YJ81,HACD1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1323.401611328125,2003.5184326171875,1296.7747802734375,2438.720703125,2335.59912109375,1082.1287841796875,2420.9013671875,1221.0711669921875,1902.14111328125,2400.341796875,2795.696044921875,2485.950927734375
B5ME19;Q99613,EIF3CL;EIF3C,1589.5152587890625,1458.7642822265625,2853.173583984375,2298.39111328125,7156.669921875,3761.18994140625,368414.40625,401527.21875,471034.8125,388191.3125,366763.25,392073.15625,336831.125,376278.21875,427336.3125,376562.65625,401123.15625,425567.84375
B7ZAQ6;P0CG08,GPR89A;GPR89B,Filtered,Filtered,NaN,Filtered,276.2261962890625,NaN,3373.548095703125,3057.648681640625,4870.3330078125,3204.98095703125,3191.966064453125,3108.832763671875,2467.45947265625,2883.07470703125,2295.305908203125,1626.67919921875,2315.628662109375,2004.0606689453125
C9JLW8,MCRIP1,Filtered,Filtered,NaN,NaN,Filtered,NaN,3302.953125,4275.095703125,4982.28662109375,4023.87353515625,3490.63916015625,3324.25146484375,2985.641357421875,3906.7490234375,4039.168212890625,4450.33349609375,3925.726806640625,4093.49951171875
E9PAV3;Q13765,NACA,2610.62890625,1902.2666015625,2773.30078125,2624.049072265625,16485.345703125,4520.96826171875,31371.92578125,32821.3125,48926.5390625,33962.55859375,33519.31640625,25344.275390625,27887.939453125,32960.6484375,34398.58984375,28247.451171875,33145.80078125,32753.04296875
E9PRG8,C11orf98,3162.74755859375,3553.739013671875,4185.62841796875,2794.349853515625,7086.138671875,4476.43701171875,66656.4453125,59636.21875,81206.3984375,63341.5,62134.67578125,60556.85546875,53493.0625,59150.921875,83678.8671875,64587.0078125,70759.6171875,59789.02734375
L0R8F8,MIEF1,530.889892578125,602.3516845703125,530.4867553710938,NaN,2025.138427734375,694.3653564453125,6635.62646484375,4813.751953125,6627.2431640625,4777.19189453125,6112.23095703125,3300.797119140625,2756.280517578125,4104.66357421875,4848.6279296875,4752.0458984375,5412.052734375,5237.1865234375
O00116,AGPS,1167.1268310546875,Filtered,1384.588134765625,Filtered,2419.8759765625,746.5689086914062,3358.786865234375,3558.776123046875,7803.8671875,3346.977294921875,3445.052490234375,2169.436279296875,3726.450927734375,3712.59130859375,4966.35791015625,4445.119140625,3761.949462890625,4254.880859375
O00139,KIF2A,1891.107666015625,1883.0552978515625,2287.900390625,2461.796875,5581.95166015625,3857.208740234375,109746.25,109791.8359375,135412.671875,108588.0859375,110199.84375,100664.734375,100506.9140625,109302.7578125,110078.15625,112019.1328125,112340.578125,118677.1875
O00148,DDX39A,Filtered,Filtered,Filtered,Filtered,1243.0916748046875,Filtered,1372.7257080078125,891.2828369140625,1811.2730712890625,Filtered,940.6696166992188,785.65478515625,Filtered,1443.949951171875,582.7346801757812,851.420654296875,1490.141845703125,2139.484619140625
O00159,MYO1C,35239.46875,31740.138671875,34468.6953125,31947.65625,50585.37890625,39492.1015625,65468.359375,68380.71875,75511.546875,63797.03515625,69458.4765625,65136.83203125,59116.17578125,69184.890625,69792.15625,69854.625,69046.9921875,73761.4140625
O00161,SNAP23,1116.11572265625,1442.3555908203125,2482.603515625,554.8685302734375,4235.3134765625,1674.10693359375,5245.2978515625,5852.97265625,6112.83203125,5435.99609375,5404.353515625,3505.40283203125,4900.6962890625,4131.625,5339.87060546875,4214.94775390625,6524.51220703125,5761.57421875
O00178,GTPBP1,259.8404846191406,NaN,195.5917205810547,Filtered,NaN,NaN,3686.380126953125,3614.73193359375,4185.39111328125,3666.532958984375,3707.801513671875,3263.775390625,3112.97607421875,3436.812744140625,3937.6015625,2981.20263671875,4062.96728515625,3899.12646484375
O00203,AP3B1,266.0078430175781,312.5586853027344,964.5764770507812,175.6261749267578,987.9239501953125,419.8428039550781,5793.5849609375,5837.814453125,6491.86962890625,4899.5380859375,3458.160400390625,2991.550048828125,2887.635986328125,3673.178955078125,3619.124267578125,4060.064697265625,4211.564453125,4497.1552734375
O00217,NDUFS8,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,2778.451416015625,2303.75830078125,2738.950927734375,1918.4713134765625,2382.7861328125,1286.11572265625,568.20947265625,886.097900390625,1111.471923828125,1415.488037109375,975.3020629882812,1378.9193115234375
O00257,CBX4,Filtered,NaN,235.01864624023438,NaN,785.0392456054688,368.49578857421875,5012.87548828125,6135.68408203125,6911.98681640625,5263.91357421875,4849.32568359375,5026.109375,4945.15673828125,5956.72314453125,5286.17724609375,5033.1083984375,5901.35546875,6432.09130859375
O00264,PGRMC1,607.8896484375,1410.7750244140625,3841.71728515625,2877.86767578125,11007.6943359375,3663.584228515625,15275.1572265625,14425.9775390625,20084.236328125,17064.873046875,16998.21875,14309.2705078125,14758.478515625,17465.462890625,17628.9375,17434.244140625,17200.37890625,18839.42578125
O00299,CLIC1,1235.1407470703125,3775.4482421875,2387.694091796875,1628.2066650390625,13955.5400390625,1610.60693359375,5836.29638671875,3392.375732421875,8414.4140625,6195.41455078125,5953.57080078125,4452.6806640625,5039.4228515625,6292.2802734375,3549.3759765625,6378.0859375,8325.2138671875,6417.5244140625
O00303,EIF3F,919.4109497070312,929.0686645507812,896.3721313476562,472.1860656738281,2813.75830078125,1040.051025390625,165060.390625,172604.328125,211565.65625,171078.1875,168293.375,168603.1875,154317.5625,160274.828125,174134.609375,139375.796875,164314.34375,186487.21875
O00308,WWP2,NaN,Filtered,NaN,Filtered,Filtered,NaN,141.85546875,NaN,423.9203796386719,NaN,364.1039733886719,278.9843444824219,263.1251220703125,467.6031799316406,0.47116410732269287,555.2608032226562,NaN,790.7630004882812
O00311,CDC7,1842.8692626953125,2381.34130859375,1425.5465087890625,2915.721435546875,2316.19140625,346.7340087890625,4589.962890625,5003.341796875,5679.10791015625,4933.009765625,4486.96484375,4674.6533203125,3411.154052734375,3962.375732421875,4967.28662109375,4586.86865234375,5028.27099609375,5074.833984375
O00391,QSOX1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,4789.31591796875,7541.255859375,8340.8984375,6908.1025390625,6188.083984375,7799.6435546875,4204.43359375,5457.01416015625,6064.49267578125,5240.63525390625,6015.52294921875,9025.04296875
O00410,IPO5,Filtered,Filtered,NaN,Filtered,760.1044921875,NaN,1280.1697998046875,722.1795654296875,1101.3807373046875,898.51953125,902.6152954101562,570.6427001953125,409.8504943847656,487.5115661621094,188.2335968017578,1000.0950317382812,1187.1888427734375,498.61334228515625
O00411,POLRMT,1089.898681640625,1121.2392578125,1347.0181884765625,870.787109375,2406.2578125,1922.991455078125,14974.19140625,14253.1796875,21126.21484375,14252.205078125,16544.53515625,13500.125,11032.162109375,15140.4443359375,14100.0625,13342.03125,13782.4833984375,15901.9111328125
O00422,SAP18,Filtered,Filtered,NaN,166.55323791503906,778.9232788085938,NaN,8831.134765625,7832.09521484375,9255.51171875,6449.349609375,12979.0634765625,8864.34765625,7998.47314453125,10289.4130859375,9179.37109375,12971.419921875,9870.453125,12942.2802734375
O00425,IGF2BP3,5748.7177734375,4726.63232421875,4731.21142578125,4644.146484375,8105.77197265625,8313.1943359375,77045.734375,84259.4375,101200.1328125,82574.953125,84014.5078125,82380.796875,65334.5625,72560.09375,82470.78125,75185.421875,71903.640625,82672.078125
O00442,RTCA,7008.7333984375,6997.20703125,11568.626953125,4535.39306640625,21279.583984375,10746.9091796875,10540.06640625,11775.1484375,17180.740234375,9348.740234375,10382.0654296875,7834.341796875,7122.9462890625,13860.82421875,8484.11328125,7274.96142578125,8829.904296875,8146.193359375
O00443,PIK3C2A,1165.4844970703125,1150.489501953125,1145.687744140625,1086.9610595703125,2033.7984619140625,2002.259033203125,7495.07763671875,8178.02587890625,9535.87890625,8301.7578125,8045.58203125,7747.60791015625,7108.90380859375,7650.119140625,8104.86865234375,7354.634765625,7736.49609375,9055.1025390625
O00458,IFRD1,272.48681640625,NaN,309.0302429199219,220.70156860351562,701.6539306640625,492.7225646972656,7676.294921875,7711.00390625,10360.91796875,7450.72021484375,6619.68408203125,6641.009765625,5888.35546875,7413.95458984375,7966.90185546875,6747.82177734375,6592.56298828125,7340.2841796875
O00461,GOLIM4,1266.83984375,336.14569091796875,1269.9481201171875,1237.9422607421875,1896.86865234375,398.1902160644531,5922.845703125,6481.93310546875,9982.3232421875,6093.20361328125,5562.6640625,6083.18359375,5751.1181640625,7291.7685546875,6605.74462890625,7187.12255859375,7222.49560546875,6139.88134765625
O00468,AGRN,398.3493957519531,NaN,Filtered,297.14727783203125,806.5430908203125,601.1845092773438,2954.7890625,3471.273193359375,4218.5927734375,2976.834228515625,3209.158447265625,1835.2237548828125,2185.85986328125,2093.375,3323.107421875,2246.039794921875,2332.025390625,2253.62646484375
O00469,PLOD2,9110.7783203125,12200.75,2244.071533203125,11428.142578125,3921.7236328125,12254.5107421875,12925.86328125,13893.6357421875,17856.83203125,13284.962890625,14614.779296875,7772.76171875,11191.666015625,16676.00390625,17338.109375,15015.728515625,14585.8857421875,14856.4375
O00471,EXOC5,Filtered,Filtered,Filtered,Filtered,500.8011779785156,Filtered,5150.92431640625,3939.47216796875,3786.53564453125,3600.932373046875,3379.587646484375,2656.032470703125,3306.356689453125,4206.3310546875,4081.521728515625,4336.73291015625,5307.60595703125,4625.7119140625
O00472,ELL2,466.6216735839844,Filtered,NaN,Filtered,2783.4404296875,3869.7177734375,3555.51220703125,6672.75390625,4687.4853515625,4269.6083984375,3975.94384765625,4028.739501953125,4523.9130859375,5010.99560546875,4185.90283203125,4877.32861328125,4114.0205078125,5466.64111328125
O00479,HMGN4,Filtered,Filtered,Filtered,Filtered,NaN,NaN,NaN,0.5552444458007812,NaN,0.8308144807815552,NaN,0.3153456747531891,Filtered,NaN,NaN,Filtered,Filtered,Filtered
O00483,NDUFA4,3745.2958984375,3855.162841796875,6136.8076171875,5442.7626953125,10337.0908203125,8877.5712890625,9526.876953125,12779.119140625,10637.5693359375,12744.861328125,8296.7353515625,8518.2099609375,10035.7646484375,9429.259765625,11403.291015625,11081.908203125,10612.330078125,12168.970703125
O00487,PSMD14,Filtered,Filtered,386.3109130859375,Filtered,2693.316162109375,Filtered,Filtered,Filtered,1452.2713623046875,2150.376220703125,1685.43701171875,1415.1151123046875,Filtered,1342.000732421875,433.67431640625,1432.2476806640625,1564.769287109375,Filtered
O00488,ZNF593,8215.2763671875,9532.7119140625,10438.8544921875,9833.8251953125,17250.099609375,21482.595703125,51460.625,48750.2109375,56033.109375,53034.2265625,49085.63671875,47640.375,40982.15234375,45920.56640625,48498.07421875,44899.12890625,43879.15234375,52741.921875
O00505,KPNA3,Filtered,Filtered,Filtered,Filtered,458.17962646484375,Filtered,3824.639892578125,442.5555725097656,4762.08984375,4473.6787109375,5658.36572265625,2146.009765625,3230.509521484375,2275.194580078125,3710.08447265625,3131.566650390625,3025.920166015625,3250.219970703125
O00522,KRIT1,Filtered,Filtered,402.8193664550781,Filtered,Filtered,Filtered,3876.163330078125,3668.343505859375,3971.623779296875,2556.704833984375,2806.720947265625,2126.466552734375,3024.1875,2498.19189453125,2426.19384765625,3208.01318359375,2766.518310546875,2828.3095703125
O00541,PES1,550.22265625,989.3855590820312,1232.2518310546875,1304.69189453125,2401.10498046875,2037.8160400390625,14619.951171875,15812.060546875,18608.41015625,14570.3642578125,12463.0908203125,12377.791015625,13846.7109375,16776.693359375,14400.078125,13371.5556640625,14660.3388671875,17729.216796875
O00560,SDCBP,483.3127136230469,361.36187744140625,NaN,NaN,1897.9635009765625,NaN,4013.63720703125,3718.4794921875,7494.83056640625,4420.037109375,3834.5947265625,4712.28076171875,3291.966064453125,4392.533203125,4693.9853515625,3091.388916015625,5549.49560546875,4620.70166015625
O00566,MPHOSPH10,NaN,NaN,Filtered,NaN,2034.2183837890625,Filtered,6220.5341796875,6620.27685546875,5816.65966796875,4848.26953125,6844.1728515625,4972.18115234375,4889.5029296875,6331.45263671875,5584.04638671875,6176.86279296875,5269.38525390625,6545.74267578125
O00567,NOP56,450.4227294921875,1025.8140869140625,NaN,NaN,847.7891235351562,Filtered,6584.35791015625,5900.93701171875,7466.3212890625,5575.0234375,7061.33056640625,5392.072265625,3471.287109375,5295.42333984375,5089.44775390625,5557.771484375,5475.53125,5984.48388671875
O00571,DDX3X,17905.330078125,18050.865234375,21365.740234375,21436.591796875,39136.72265625,27095.7734375,686747.8125,723622.1875,882577.5625,719485.6875,701210.375,675840.25,615977.6875,706702.875,753827.6875,709204.375,720907.125,786453.125
O00592,PODXL,4626.21826171875,5215.90625,4466.515625,5220.33740234375,13828.1357421875,4755.646484375,39259.4609375,42899.44140625,55445.19140625,47277.94140625,42960.48046875,43123.2890625,48931.4296875,46479.78125,45395.99609375,47785.640625,43584.33203125,51106.30859375
O00622,CCN1,1086.3388671875,797.8074951171875,1643.366943359375,1136.0460205078125,2124.260498046875,2146.156005859375,14897.865234375,14681.919921875,19124.21484375,16081.068359375,14828.9755859375,15051.869140625,10755.185546875,13420.4013671875,15326.5263671875,16045.20703125,14474.7158203125,16162.326171875
O00712,NFIB,1222.295654296875,1384.1141357421875,1916.915771484375,1803.622802734375,3147.6416015625,3010.6572265625,17083.95703125,18697.009765625,23173.107421875,16747.513671875,18764.638671875,14971.607421875,14407.4609375,17496.25390625,19351.763671875,20320.072265625,15720.640625,20458.240234375
O00767,SCD,1326.44677734375,950.8345336914062,1438.4658203125,1031.7738037109375,2572.15673828125,1414.9185791015625,9969.90625,9844.3515625,13635.6474609375,11413.966796875,8771.130859375,9345.275390625,8166.93359375,9025.2001953125,8673.25,8899.4365234375,9672.6845703125,11050.4794921875
O14503,BHLHE40,Filtered,315.363037109375,Filtered,Filtered,Filtered,Filtered,1505.6976318359375,830.6190185546875,352.1646423339844,719.0808715820312,939.2352905273438,1209.1605224609375,1049.939208984375,NaN,451.66827392578125,274.2543029785156,1750.773193359375,1171.97705078125
O14524,NEMP1,Filtered,375.3179931640625,Filtered,Filtered,1170.5670166015625,551.659423828125,4365.515625,5778.84326171875,5168.8232421875,4501.82763671875,5095.26513671875,5852.6875,2511.384033203125,6732.552734375,4474.599609375,5322.49462890625,4894.42333984375,4386.103515625
O14548,COX7A2L,Filtered,NaN,345.5454406738281,Filtered,1403.6207275390625,622.7948608398438,3519.02783203125,3700.05419921875,5047.51318359375,3368.229248046875,3246.227294921875,1970.34814453125,1820.3863525390625,2828.633056640625,2622.4560546875,3258.16064453125,2524.60107421875,3477.526611328125
O14578,CIT,Filtered,343.6953125,Filtered,NaN,540.4344482421875,338.2891540527344,4187.42431640625,4248.208984375,5379.517578125,4260.20654296875,3866.314697265625,3552.174560546875,3078.525390625,3756.674560546875,4236.62060546875,4371.513671875,3642.216796875,4545.65673828125
O14579,COPE,474.880126953125,Filtered,NaN,208.4688262939453,1362.2781982421875,491.1365966796875,11931.5185546875,12483.365234375,13867.255859375,11517.892578125,11192.0107421875,8312.3486328125,9810.30859375,10265.04296875,12615.6357421875,11570.3515625,11934.171875,10204.5322265625
O14602;P47813,EIF1AY;EIF1AX,435.71856689453125,587.2831420898438,1489.4024658203125,1437.621337890625,4598.5009765625,1104.8782958984375,2384.3203125,3155.240234375,4859.34423828125,2654.29443359375,3583.97021484375,1000.0765991210938,3788.93359375,4950.99462890625,3400.199951171875,2306.498291015625,3778.302978515625,5059.5419921875
O14617,AP3D1,237.79385375976562,244.6580352783203,200.05825805664062,1117.5455322265625,3647.056396484375,1182.0916748046875,12578.8798828125,17411.333984375,17130.478515625,10677.0234375,12292.716796875,4323.84814453125,10696.5859375,13427.3017578125,9390.0869140625,10593.3125,12053.3125,14271.1826171875
O14639,ABLIM1,1200.1658935546875,811.7669067382812,897.9273681640625,765.7691040039062,1856.019287109375,2013.49609375,5517.1435546875,4293.20166015625,6018.86474609375,4731.27490234375,5009.29833984375,4145.26318359375,2687.093017578125,3042.0537109375,4013.103271484375,2756.624755859375,4346.62451171875,4873.1923828125
O14646,CHD1,1971.2020263671875,6089.18212890625,3568.6923828125,2510.91357421875,2674.043701171875,3364.8984375,13471.15234375,11696.0458984375,14972.6376953125,11721.478515625,11764.751953125,12548.185546875,12345.6689453125,16074.0634765625,13747.10546875,15328.9111328125,13088.138671875,16134.9033203125
O14653,GOSR2,Filtered,Filtered,Filtered,Filtered,389.82476806640625,Filtered,2408.912841796875,2806.97509765625,3463.4443359375,2344.8544921875,2650.3642578125,2152.563232421875,2638.0166015625,1664.107177734375,2299.84375,1958.1199951171875,2842.151611328125,1601.011474609375
O14662,STX16,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1077.74755859375,1007.1587524414062,2052.35595703125,1246.460205078125,833.2167358398438,1577.814697265625,854.5595703125,1009.286376953125,1614.239990234375,1549.161376953125,683.9127197265625,1268.208251953125
O14672,ADAM10,1038.099853515625,852.238525390625,842.302978515625,977.5792846679688,1782.6878662109375,1791.952392578125,14761.7021484375,14054.498046875,19368.009765625,14116.22265625,14112.3359375,12486.18359375,13947.7734375,16520.525390625,14314.8154296875,15443.478515625,15012.9482421875,16543.203125
O14681,EI24,511.1627502441406,Filtered,Filtered,Filtered,1317.1533203125,279.8107604980469,5993.7548828125,7091.70654296875,7811.36279296875,8741.4375,6524.3310546875,6362.017578125,5181.88623046875,6379.7060546875,6991.90234375,7128.62109375,7918.8193359375,6074.349609375
O14684,PTGES,3389.208251953125,3282.02734375,2999.4716796875,2569.70849609375,12322.3466796875,4061.454345703125,23017.27734375,25548.40234375,34010.5546875,24903.109375,18839.392578125,21475.81640625,18717.16015625,18130.072265625,23146.052734375,17329.00390625,23046.9609375,19019.197265625
O14713,ITGB1BP1,Filtered,NaN,Filtered,Filtered,Filtered,Filtered,5163.24072265625,4134.07421875,4612.025390625,2929.325927734375,2251.0830078125,2174.814453125,3044.922607421875,3855.1923828125,2777.375,3737.5849609375,945.4376220703125,3487.649658203125
O14735,CDIPT,205.569580078125,897.0989379882812,1061.865234375,1361.6492919921875,2658.94921875,2088.94189453125,13702.99609375,11524.4228515625,13369.9716796875,13037.6171875,12958.09765625,12181.2744140625,6624.5732421875,10720.2236328125,10840.9931640625,9379.5244140625,9076.6279296875,10575.59765625
O14744,PRMT5,546.617919921875,Filtered,Filtered,Filtered,2750.01171875,Filtered,3176.49462890625,3475.318359375,4656.57568359375,3695.024658203125,4011.873046875,3730.6220703125,2113.0595703125,3624.52001953125,2832.209716796875,3263.068359375,4007.193115234375,3864.879150390625
O14776,TCERG1,4196.21484375,4034.119873046875,4340.89013671875,4988.5947265625,10652.013671875,9818.5830078125,91745.5390625,91200.078125,105392.671875,91632.1015625,85439.953125,78605.34375,84327.7265625,95434.90625,100359.65625,100538.0625,97240.578125,108211.046875
O14802,POLR3A,NaN,NaN,766.64599609375,NaN,429.30157470703125,1105.7706298828125,12183.3837890625,13526.7275390625,15548.0244140625,12136.33984375,12052.0625,11268.51953125,9351.62109375,11083.779296875,12142.0341796875,11266.5625,12575.154296875,13865.90234375
O14818,PSMA7,501.0034484863281,Filtered,880.743896484375,Filtered,6270.7080078125,Filtered,1790.4420166015625,2147.853759765625,2143.299072265625,1743.490966796875,1988.9290771484375,1552.6839599609375,2708.02685546875,2252.349609375,2910.979736328125,2089.909912109375,2563.91845703125,1896.4022216796875
O14828,SCAMP3,Filtered,Filtered,Filtered,318.0762939453125,2305.641845703125,Filtered,1485.1993408203125,1755.24267578125,2860.37451171875,2178.298095703125,1813.284423828125,985.7208862304688,1561.77490234375,969.1575927734375,2579.25927734375,2340.081298828125,603.287841796875,767.9496459960938
O14874,BCKDK,229.81968688964844,525.9496459960938,483.93170166015625,350.02313232421875,768.7791137695312,956.6030883789062,14743.380859375,13373.2919921875,18702.578125,14541.91796875,16493.349609375,11700.78515625,11478.4404296875,13978.0224609375,14414.6494140625,12857.2705078125,13304.45703125,16487.267578125
O14880,MGST3,4089.64599609375,1373.2525634765625,4187.42822265625,3331.2412109375,1602.999755859375,1280.6517333984375,12383.99609375,9715.9541015625,17036.87109375,9347.18359375,10606.4970703125,6717.86376953125,4026.17822265625,6034.2724609375,10739.806640625,12497.7099609375,9085.119140625,4834.4873046875
O14893,GEMIN2,425.5527648925781,423.728271484375,560.6399536132812,454.7564392089844,606.2039184570312,928.4635620117188,11596.8173828125,13236.48828125,17655.861328125,12323.6455078125,10653.9580078125,10739.2802734375,10751.6015625,12453.3505859375,12778.6484375,10337.0830078125,10882.2705078125,14364.5634765625
