PG.ProteinGroups,PG.Genes,[1] Control_1.raw.PG.Quantity,[2] Control_2.raw.PG.Quantity,[3] Control_3.raw.PG.Quantity,[4] Control_4.raw.PG.Quantity,[5] Control_5.raw.PG.Quantity,[6] Control_6.raw.PG.Quantity,[7] UNC13A_CE_1.raw.PG.Quantity,[8] UNC13A_CE_2.raw.PG.Quantity,[9] UNC13A_CE_3.raw.PG.Quantity,[10] UNC13A_CE_4.raw.PG.Quantity,[11] UNC13A_CE_5.raw.PG.Quantity,[12] UNC13A_CE_6.raw.PG.Quantity,[13] UNC13A_WT_1.raw.PG.Quantity,[14] UNC13A_WT_2.raw.PG.Quantity,[15] UNC13A_WT_3.raw.PG.Quantity,[16] UNC13A_WT_4.raw.PG.Quantity,[17] UNC13A_WT_5.raw.PG.Quantity,[18] UNC13A_WT_6.raw.PG.Quantity
A0A1B0GUS4;P68036,UBE2L5;UBE2L3,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,NaN,NaN,Filtered,Filtered,NaN,0.5816116333007812,NaN,NaN,NaN,NaN,NaN
P98175,RBM10,1834.0469970703125,1238.0816650390625,1343.4195556640625,1729.2296142578125,1920.2332763671875,1578.610107421875,44438.34765625,46473.65625,54431.53125,45697.23828125,43429.5859375,44373.859375,41136.61328125,44528.3671875,45071.80859375,44909.55859375,47552.2109375,50168.2421875
P98179,RBM3,1309.9454345703125,1397.112548828125,2391.59326171875,1335.23828125,5215.11572265625,2889.63525390625,116593.9921875,107691.171875,135093.640625,109935.15625,103847.390625,99194.8203125,93002.765625,96567.96875,130262.734375,100039.34375,110622.34375,109117.0390625
P98194,ATP2C1,799.6205444335938,562.8674926757812,695.4172973632812,751.3292236328125,2017.26416015625,1439.43310546875,5252.0166015625,5518.33056640625,5884.74560546875,4487.5625,4773.32861328125,4944.13720703125,4996.125,5448.41259765625,4302.3310546875,5401.68115234375,5518.17626953125,5072.03515625
P99999,CYCS,4140.01220703125,4650.78125,5056.15576171875,4563.3955078125,52464.4921875,8736.92578125,17285.419921875,14993.748046875,23674.63671875,15011.84765625,15857.09765625,12806.646484375,15429.630859375,22781.18359375,18593.568359375,17778.009765625,21216.755859375,22735.412109375
Q00059,TFAM,18328.474609375,19615.943359375,21785.1328125,18333.7578125,28151.1875,26489.57421875,89090.140625,92839.3203125,111371.4453125,93086.421875,101107.2421875,91010.8359375,84269.8203125,92204.140625,87014.7421875,99488.265625,81895.3125,97897.921875
Q00325,SLC25A3,21338.1171875,23665.7734375,21984.92578125,20457.634765625,47427.76953125,43066.3125,171952.71875,168724.265625,202577.375,186476.75,162878.015625,158215.90625,140560.21875,167025.28125,165043.34375,194645.203125,172884.390625,191786.234375
Q00341,HDLBP,2929.1123046875,2935.01904296875,3409.283935546875,3233.412353515625,10533.8447265625,4986.7216796875,729765,767418.75,934764,794011.9375,762395.375,783365,686553.875,748130.0625,808456.9375,756129.75,767426.9375,823693.375
Q00403,GTF2B,987.3579711914062,966.906494140625,661.4992065429688,992.321533203125,2007.8924560546875,2795.108154296875,15331.2431640625,15281.3154296875,16994.126953125,12336.2548828125,12016.0791015625,9459.9541015625,9188.3955078125,13200.6787109375,10691.638671875,11580.0927734375,10302.484375,10954.91796875
Q00537,CDK17,559.006103515625,NaN,318.3418273925781,NaN,99.12787628173828,1570.5504150390625,1513.853515625,767.08349609375,2012.34912109375,1095.189697265625,778.5738525390625,1123.292236328125,1647.906494140625,1249.1697998046875,851.0079956054688,934.7718505859375,775.1837768554688,1409.7254638671875
Q00577,PURA,5159.60400390625,4698.93310546875,7076.7041015625,7708.7421875,10620.1142578125,14950.6328125,17818.15625,36749.16015625,35006.08984375,33974.21484375,32883.4765625,23903.81640625,39220.78515625,28406.23046875,31018.0703125,40205.4765625,25334.537109375,42447.8515625
