PG.ProteinGroups,PG.Genes,[1] ctrl_1.raw.PG.Quantity,[2] ctrl_2.raw.PG.Quantity,[3] ctrl_3.raw.PG.Quantity,[4] ctrl_4.raw.PG.Quantity,[5] Halo_1.raw.PG.Quantity,[6] Halo_2.raw.PG.Quantity,[7] Halo_3.raw.PG.Quantity,[8] Halo_4.raw.PG.Quantity
Q8NHP6,MOSPD2,29759.546875,27492.111328125,24677.091796875,22764.314453125,21367.83984375,21448.078125,29701.296875,23985.369140625
Q8TA86,RP9,62582.59765625,65964.5078125,46505.9296875,46113.44921875,59672,52267.77734375,61664.2421875,44584.60546875
Q8TAA5,GRPEL2,NaN,5785.3642578125,4328.0595703125,4708.7646484375,6824.2607421875,7443.6298828125,2458.983642578125,8399.8486328125
Q8TAA9,VANGL1,9504.5693359375,11095.7470703125,10469.564453125,7692.62548828125,6942.154296875,8352.064453125,6090.892578125,6926.1083984375
Q8TAD8,SNIP1,36273.55859375,35333.484375,31697.955078125,31905.421875,29476.375,29374.638671875,27553.25390625,21511.5390625
Q8TAF3,WDR48,7082.5615234375,6333.884765625,7621.10498046875,6804.97607421875,4554.5625,6656.0791015625,3234.627685546875,4311.486328125
Q8TAG9,EXOC6,29996.001953125,22255.52734375,29324.80859375,26093.919921875,20848.876953125,21427.037109375,23655.8359375,23637.984375
Q8TAQ2,SMARCC2,11148.6591796875,10134.34765625,12820.0576171875,11419.1865234375,10900.0791015625,7140.32861328125,10926.505859375,8083.4365234375
Q8TAT2,FGFBP3,134924.984375,73562,112115.0078125,69620.5703125,47303.82421875,58720.01953125,37100.04296875,40061.53515625
Q8TAV0,FAM76A,12043.0439453125,4373.5908203125,15236.162109375,5463.01513671875,NaN,2601.25537109375,NaN,NaN
Q8TB22,SPATA20,6723.84423828125,4636.33203125,4879.79736328125,4385.2568359375,1262.0972900390625,4269.15283203125,3901.041015625,NaN
Q8TB36,GDAP1,30139.09375,30498.478515625,36056.2109375,32167.046875,21292.54296875,19927.35546875,22529.294921875,28902.251953125
Q8TB61,SLC35B2,13559.0458984375,NaN,13914.7880859375,NaN,NaN,NaN,NaN,NaN
Q8TBB5,KLHDC4,2895.59326171875,4131.8720703125,2055.870849609375,3211.879150390625,3058.99169921875,2861.2978515625,3459.388916015625,1865.0926513671875
Q8TBB6,SLC7A14,NaN,1042.4927978515625,1016.8912963867188,NaN,657.2095336914062,275.0537414550781,331.471435546875,NaN
Q8TBF4,ZCRB1,2739.751953125,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8TBJ4,PLPPR1,41345.46875,43416.21484375,37668.703125,37662.50390625,42008.7109375,47352.90625,54602.515625,54912.27734375
Q8TBP6,SLC25A40,7831.35546875,8853.087890625,6207.8408203125,6721.958984375,9122.474609375,9523.5078125,11892.7978515625,12986.7958984375
Q8TBX8,PIP4K2C,28677.275390625,22772.296875,21965.5078125,20510.7578125,12460.609375,15094.6005859375,13768.38671875,17018.87890625
Q8TBZ3,WDR20,7326.90625,3380.77392578125,3098.498779296875,5661.64404296875,2700.14404296875,7261.052734375,4573.1328125,5382.02490234375
Q8TC12,RDH11,45012.74609375,15055.5947265625,26952.431640625,16500.07421875,28431.6484375,15135.4892578125,14614.671875,20620.115234375
Q8TC26,TMEM163,1910.498779296875,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8TCA0,LRRC20,2091.504638671875,4178.6796875,4815.53369140625,3988.800537109375,NaN,2117.406494140625,NaN,NaN
Q8TCG5,CPT1C,22487.689453125,15253,19700.94921875,13201.8720703125,10831.9228515625,13478.16015625,10380.8486328125,12961.6787109375
Q8TCJ2,STT3B,57895.015625,62450.55859375,57944.38671875,61764.88671875,42849.7421875,53283.953125,61310.484375,67456.875
Q8TCT9,HM13,7915.61328125,NaN,3434.56884765625,NaN,NaN,NaN,NaN,NaN
Q8TCU4,ALMS1,NaN,1159.0416259765625,NaN,1256.615478515625,1560.75830078125,1287.565185546875,1666.1602783203125,NaN
Q8TCZ2,CD99L2,4239.23583984375,3886.7099609375,5023.1044921875,5485.810546875,4839.5830078125,4443.7353515625,5903.96728515625,6104.6201171875
Q8TD16,BICD2,4054.740234375,2789.572998046875,2128.749755859375,3760.10595703125,NaN,1341.8759765625,2009.0928955078125,NaN
Q8TDC3,BRSK1,61521.6640625,61349.0234375,62012.625,53999.52734375,41104.60546875,47154.62890625,45331.0625,41411.55859375
Q8TDJ6,DMXL2,50488.43359375,44984.578125,45398.48828125,39849.671875,36413.2421875,39250.78515625,46850.24609375,39962.890625
Q8TDM6,DLG5,21637.26953125,25065.029296875,24945.26171875,23188.12890625,21164.431640625,23757.080078125,22836.775390625,24171.177734375
Q8TDX7,NEK7,12911.7431640625,10301.9072265625,9767.7734375,10238.232421875,5075.50830078125,10309.435546875,7864.4013671875,8522.9970703125
Q8TDY2,RB1CC1,9710.138671875,9306.1728515625,7337.04638671875,6449.76904296875,3866.9150390625,4892.048828125,4781.2021484375,3632.451171875
Q8TDZ2,MICAL1,3369.091552734375,3807.054931640625,5653.408203125,1479.93359375,383.8914794921875,3225.904052734375,NaN,1186.479248046875
Q8TEA7,TBCK,17499.45703125,16028.2373046875,16332.94921875,15650.47265625,9390.6005859375,12841.2783203125,13604.05859375,8337.0302734375
Q8TEA8,DTD1,58414.7421875,37262.91015625,17978.796875,20000.51171875,22307.087890625,28651.970703125,35277.95703125,36160.2578125
Q8TEB9,RHBDD1,11068.595703125,15230.935546875,6620.7353515625,7890.04296875,9144.009765625,8977.40234375,9903.806640625,8024.67578125
Q8TEQ6,GEMIN5,4823.70849609375,2426.87646484375,2454.44580078125,2652.991455078125,2494.2353515625,2293.100830078125,4065.551025390625,3247.858154296875
Q8TEW0,PARD3,7540.90478515625,3175.217041015625,3173.976318359375,4264.62158203125,503.52313232421875,NaN,5720.28955078125,7783.7529296875
Q8TEX9,IPO4,3017.605712890625,3771.6845703125,2470.379150390625,3445.39453125,1396.042724609375,3275.49658203125,2439.63037109375,2421.4853515625
Q8TF01,PNISR,71026.7109375,11296.361328125,6868.53515625,NaN,NaN,NaN,6346.83349609375,8728.93359375
Q8TF05,PPP4R1,18400.728515625,9622.140625,10209.9072265625,12112.1376953125,5077.17822265625,7534.7578125,7160.35205078125,6217.34716796875
Q8TF09;Q9NP97,DYNLRB2;DYNLRB1,48748.234375,21655.390625,34974.84765625,21037.28515625,11189.6103515625,21915.14453125,18892.966796875,24593.017578125
Q8TF42,UBASH3B,151290.25,128269.9765625,105345.8125,107814.6015625,86154.5625,90181.4140625,105576.90625,85707.125
Q8TF44,C2CD4C,21733.72265625,25847.244140625,20206.98046875,19427.115234375,14604.8896484375,23918.51171875,25706.2109375,18606.00390625
Q8TF61,FBXO41,4232.54150390625,10866.572265625,8978.3583984375,4714.88037109375,4565.18408203125,5202.7802734375,1962.811767578125,4292.9345703125
Q8TF74,WIPF2,4909.19384765625,3853.57958984375,3930.958740234375,2018.8970947265625,1816.9490966796875,NaN,1677.39697265625,477.6798095703125
Q8WTW3,COG1,5274.35546875,5097.48193359375,3796.857177734375,4124.3701171875,NaN,6208.6435546875,6076.74951171875,5707.27880859375
Q8WU90,ZC3H15,40773.85546875,49199.78515625,39313.3359375,46555.53125,45522.390625,46727.1953125,46966.890625,33105.94140625
Q8WUA2,PPIL4,213005.40625,215755.40625,188017.109375,216431.015625,187047.46875,194507.953125,205541.609375,182257.421875
Q8WUD1,RAB2B,43288.328125,57250.01953125,66813.6875,48629.4375,44766.65234375,44858.05859375,35809.64453125,40724.5
Q8WUG5,SLC22A17,4573.3486328125,5273.8193359375,3694.372314453125,NaN,NaN,NaN,NaN,NaN
Q8WUH2,TGFBRAP1,10718.4169921875,12059.072265625,8242.3154296875,7413.2080078125,1460.507568359375,2728.458740234375,3453.707275390625,3003.32421875
Q8WUK0,PTPMT1,4854.51220703125,NaN,NaN,NaN,NaN,NaN,727.1951904296875,NaN
Q8WUM4,PDCD6IP,29059.72265625,24533.2421875,32933.81640625,24784.6875,23818.0703125,21064.390625,23257.970703125,26925.126953125
Q8WUQ7,CACTIN,3785.9189453125,1330.2139892578125,2126.125732421875,1823.5792236328125,2280.345947265625,785.0962524414062,NaN,931.1121215820312
Q8WUW1,BRK1,30919.5234375,28750.91796875,24659.203125,22462.134765625,28214.41015625,30155.3671875,34289.56640625,27183.892578125
Q8WUX9,CHMP7,14163.7919921875,14193.3876953125,14872.935546875,15525.625,12026.6845703125,10244.2587890625,16997.66796875,15321.1240234375
Q8WUY8,NAT14,1481.785888671875,1750.1688232421875,1099.9727783203125,NaN,NaN,NaN,NaN,NaN
Q8WVC6,DCAKD,12288.5703125,12408.4287109375,13068.158203125,10292.203125,6645.55419921875,7783.59814453125,7619.32177734375,4992.88330078125
Q8WVK2,SNRNP27,290845.4375,363200.84375,303779.4375,365808.03125,334517.3125,416945.28125,455267.0625,309378.15625
Q8WVM0,TFB1M,7828.15625,7113.60009765625,6638.14111328125,2790.819580078125,3672.671630859375,6355.17529296875,7953.474609375,7285.31298828125
Q8WVS4,DYNC2I1,7927.39990234375,6213.0712890625,8599.05078125,6547.86474609375,2329.49462890625,3767.947265625,4105.1103515625,NaN
Q8WVV9,HNRNPLL,128407.7421875,109353.1875,113985.734375,80182.9375,66270.59375,84117.3828125,78671.453125,72912.2890625
Q8WVX9,FAR1,11942.7001953125,10761.7431640625,9120.4306640625,10049.1416015625,8455.2763671875,11594.8583984375,10384.77734375,11017.8388671875
Q8WVY7,UBLCP1,25107.412109375,27350.947265625,24692.302734375,25231.1953125,19930.62890625,18770.78125,14030.181640625,8941.033203125
Q8WW59,SPRYD4,3923.05126953125,5981.546875,6792.32568359375,6844.33837890625,4597.50244140625,NaN,NaN,NaN
Q8WWC4,MAIP1,8774.130859375,8057.7919921875,9936.9189453125,8725.134765625,6940.822265625,7583.27587890625,7009.6025390625,8318.3125
Q8WWM7,ATXN2L,17929.251953125,15594.818359375,16665.873046875,15434.970703125,13684.0908203125,17018.609375,18344.046875,12362.705078125
Q8WWM9,CYGB,7294.16650390625,4886.6669921875,4049.05126953125,9182.3125,3068.025634765625,2894.8564453125,2252.8544921875,6899.763671875
Q8WWY3,PRPF31,25407.435546875,28228.0234375,26344.646484375,20883.63671875,19697.400390625,26568.607421875,23639.607421875,22692.4375
Q8WX92,NELFB,2530.30810546875,2851.60546875,2860.34423828125,2035.7587890625,1920.499755859375,3146.977783203125,2901.400634765625,2226.650390625
Q8WX93,PALLD,9700.4248046875,5043.47216796875,14142.2265625,7753.0849609375,7594.072265625,8698.3232421875,7266.44287109375,8684.171875
Q8WXA9,SREK1,47091.6796875,49383.01953125,47296.9140625,56507.3515625,43812.7734375,43776.05859375,48734.95703125,45308.25390625
Q8WXD9,CASKIN1,14426.63671875,14901.517578125,11893.2080078125,11795.0458984375,12924.2939453125,11143.7490234375,14696.388671875,13644.2294921875
Q8WXF0,SRSF12,16854.3203125,22579.677734375,14655.833984375,18909.857421875,19995.67578125,22264.41796875,23807.74609375,26430.84765625
Q8WXF1,PSPC1,10170.0634765625,7528.2353515625,8372.78125,6980.4765625,7429.80908203125,7117.9306640625,7546.57421875,6969.70703125
Q8WXF7,ATL1,7501.6767578125,10901.4638671875,8669.2060546875,8580.6357421875,4682.66796875,7146.81298828125,11246.4482421875,11164.298828125
Q8WXG6,MADD,8414.6337890625,6378.4052734375,5054.189453125,4380.22119140625,3109.091552734375,3551.99462890625,2810.09326171875,4352.11376953125
Q8WXG9,ADGRV1,11147.2080078125,35061.109375,14687.34375,21333.376953125,25909.79296875,16754.6171875,26673.162109375,14303.685546875
Q8WXH0,SYNE2,1887.0504150390625,2023.5390625,2952.454345703125,2672.962890625,2600.865478515625,2987.9375,4124.4833984375,3462.00341796875
Q8WXI2,CNKSR2,2327.23779296875,2837.663330078125,2352.836181640625,1967.7225341796875,1470.16064453125,3330.51611328125,2811.62548828125,1227.3914794921875
Q8WY54,PPM1E,13990.044921875,18152.990234375,13105.634765625,13271.3369140625,12493.763671875,13818.466796875,15497.48828125,14485.318359375
