PG.ProteinGroups,PG.Genes,[1] Control_1.raw.PG.Quantity,[2] Control_2.raw.PG.Quantity,[3] Control_3.raw.PG.Quantity,[4] Control_4.raw.PG.Quantity,[5] Control_5.raw.PG.Quantity,[6] Control_6.raw.PG.Quantity,[13] UNC13A_WT_1.raw.PG.Quantity,[14] UNC13A_WT_2.raw.PG.Quantity,[15] UNC13A_WT_3.raw.PG.Quantity,[16] UNC13A_WT_4.raw.PG.Quantity,[17] UNC13A_WT_5.raw.PG.Quantity,[18] UNC13A_WT_6.raw.PG.Quantity
Q16555,DPYSL2,Filtered,Filtered,NaN,Filtered,0.58115387,Filtered,2.116192102,NaN,NaN,Filtered,NaN,NaN
Q16563,SYPL1,NaN,258.4930115,NaN,Filtered,2894.747559,Filtered,272.6737061,318.0392151,1077.52356,Filtered,367.51297,307.0194092
Q16576,RBBP7,Filtered,NaN,NaN,317.6512451,785.2848511,Filtered,1654.78833,2791.262207,3079.989502,2713.802979,2843.755615,2334.115723
Q16594;Q9HBM6,TAF9;TAF9B,Filtered,Filtered,Filtered,313.2643738,514.1112671,165.435318,2395.59375,2829.093506,3496.189941,3253.861084,2706.887695,4028.407471
Q16629,SRSF7,13793.57227,13039.66211,15857.72656,19093.54297,39699.91797,30620.23047,347391.5313,397222.4063,415223,458451.5625,425956.2188,404466.5313
Q16630,CPSF6,9639.956055,6575.140137,7654.873047,8763.375,19991.58789,16628.20117,122422.0703,138891.9219,150220.0469,153135,144019.3125,144742.7188
Q16637,SMN1,2241.55249,1697.553711,1627.047485,1903.126709,3961.326416,2073.30957,50151.32031,71828.05469,65701.07031,63045.55859,58607.66797,71516.17969
Q16643,DBN1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,2317.271484,Filtered,Filtered,Filtered,Filtered,403.2771301
Q16658,FSCN1,1116.012695,802.5330811,2342.21582,491.5371094,7599.608887,491.7880249,2663.463379,2389.973389,1989.88269,1624.539307,3650.21582,2085.074219
Q16666,IFI16,356.0848999,815.0166626,776.4146118,684.8589478,714.1984863,537.2580566,16064.5166,18871.20313,18779.51953,19437.04102,17313.63086,22149.73242
Q16670,ZSCAN26,Filtered,Filtered,Filtered,Filtered,Filtered,319.1451721,4147.539063,3125.926758,5151.35791,3506.427979,4741.907715,5524.441406
Q16678,CYP1B1,314.2243347,Filtered,Filtered,484.3262024,909.7022095,1409.811768,4407.26123,4804.456543,4358.25293,4589.192383,5179.837891,5243.64209
Q16698,DECR1,3308.633789,2520.199463,3768.660645,3498.523682,5001.454102,4667.529297,5010.27002,5530.463867,4322.209473,6048.106934,4497.212891,6194.355957
Q16706,MAN2A1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,937.4329834,1721.004028,1137.513916,1314.946411,1175.022217,1625.861084
Q16718,NDUFA5,NaN,NaN,NaN,NaN,1776.47876,Filtered,2406.474854,3288.617432,3600.281006,2911.674805,2525.950195,2947.94873
Q16795,NDUFA9,3677.340576,3554.670166,4565.290527,3371.19873,6472.977051,6699.532715,31026.01563,36104.62109,37895.83203,36795.94922,36589.33594,40154.16016
Q16880,UGT8,Filtered,Filtered,2033.640625,Filtered,648.3214722,321.8455811,4695.574219,6834.164551,4444.598145,3559.290039,7728.038574,6949.595215
Q16891,IMMT,3557.86792,3489.739258,3515.395508,3948.950684,5950.731445,4258.863281,12428.70898,11862.19727,13576.1084,14783.0166,13838.04102,14741.43945
Q17RY0,CPEB4,626.5352173,490.8110046,319.837677,398.1952209,611.1509399,656.392395,1993.645996,2646.43042,2958.22998,2671.752441,2425.951172,2850.69751
Q17RY6,LY6K,Filtered,122.2218933,786.6752319,819.0811768,Filtered,1468.565552,12773.59668,14789.1748,14644.01563,11887.55273,15489.32324,14543.04492
Q1ED39,KNOP1,NaN,NaN,NaN,564.9458008,432.3572998,NaN,7683.598145,9826.032227,10378.22266,9147.87207,10479.16895,11094.30859
Q1KMD3,HNRNPUL2,1394.800049,1883.927246,1340.623657,1157.364136,3063.39209,2039.844238,54412.28516,64656.71875,67037.98438,65552.53125,65392.625,70038.16406
Q24JP5,TMEM132A,Filtered,Filtered,Filtered,Filtered,3843.667236,Filtered,2723.573486,5734.726074,3997.197021,4361.489258,5562.418457,4727.940918
Q27J81,INF2,160.7992859,NaN,211.5280304,274.6106567,328.4654846,206.7429352,1441.446167,977.7883911,483.2602844,1092.268921,504.4337769,751.6425171
Q29RF7,PDS5A,1850.450806,1302.769043,1917.999023,1471.751099,4159.373535,2449.666504,79784.26563,86946.99219,92535.55469,92396.00781,92881.63281,99408.28125
Q2KHR3,QSER1,2181.498779,2494.043213,2807.425049,2652.372559,3961.484619,4026.116211,8263.325195,9448.764648,9844.620117,9144.106445,9461.668945,11537.67383
Q2M296,MTHFSD,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,5851.345703,8261.458008,6811.157227,6118.845215,6527.459473,7544.699219
