Protein_Group	Genes	P_value	treatment_estimate	control_estimate	log2FC	p.adj
Q96GJ1	TRMT2B	0.00126938963190804	2119.08585611979	311.71880086263	2.76050417783727	0.00163366456786686
P07093	SERPINE2	0.00128098514548013	2717.8054300944	81.6664225260417	5.03899691182266	0.00164782615711878
Q9Y3B9	RRP15	0.00132535481302495	2878.24198404948	336.90050760905	3.09051746678888	0.00170411502967428
P68400;Q8NEV1	CSNK2A1;CSNK2A3	0.00132692044592194	13206.2049967448	7388.22859700521	0.837720279522813	0.00170534076690937
Q9BSJ8	ESYT1	0.00135088286875735	7118.65087890625	2018.55002339681	1.81756996724508	0.00173533615751347
P06899;P23527;P33778;Q16778	H2BC11;H2BC17;H2BC3;H2BC21	0.00136516424882723	2626.59702555339	52.6403274536133	5.61373302352096	0.00175287341308614
Q53H12	AGK	0.00137772052148436	3826.44120279948	1678.53841145833	1.18793844059861	0.00176818048494651
P60903	S100A10	0.00140135665434917	36836.7119140625	6200.06760660807	2.570555767068	0.00179768691034658
P08754	GNAI3	0.00141995053934325	8083.34440104167	5190.85091145833	0.638703361122715	0.00182070085270302
P54709	ATP1B3	0.00142982789670709	1675.12996419271	221.969645182292	2.90935380887905	0.00183252217778612
Q15286	RAB35	0.0014401329355822	3594.85982259115	1216.00291951497	1.56260288654145	0.00184488050855401
P41162	ETV3	0.00144940964017758	3200.8193766276	1512.22364298503	1.08081604468322	0.00185591073466416
P11908;P60891	PRPS2;PRPS1	0.00147597161420962	2104.19753011068	77.4080810546875	4.74612398077428	0.00188905374337031
Q00610	CLTC	0.00148035821793453	5406.79146321615	1554.69899495443	1.79720976669385	0.00189339826741374
Q08426	EHHADH	0.00148072582636521	4987.85428873698	1245.17251586914	2.00091551605757	0.00189339826741374
P61326;Q96A72	MAGOH;MAGOHB	0.00148821617903441	21290.0043945313	4098.37284342448	2.37670113149125	0.00190210282634734
Q6MZP7	LIN54	0.00149078272817426	4420.99442545573	2203.24318440755	1.0040875163055	0.00190450912750703
Q6UB35	MTHFD1L	0.00151751915148884	7054.86702473958	2835.04768880208	1.31473709807994	0.00193777663314828
P47755	CAPZA2	0.00152753271183074	35166.3935546875	18351.5255533854	0.938218777876133	0.00194966938700669
P16220	CREB1	0.00153813851962697	26325.2770182292	2192.82743326823	3.58492675991493	0.00196230681500738
Q13617	CUL2	0.00154264645634178	6202.52384440104	1399.65454101563	2.14675420454723	0.00196715676781679
P33527	ABCC1	0.00155040619050926	1927.64654541016	406.179458618164	2.24310385495823	0.00197614702085506
O75351;Q6PIW4;Q9UN37	VPS4B;FIGNL1;VPS4A	0.00157512866864441	3702.87259928385	1003.37954711914	1.88234035770558	0.00200673986375786
Q9Y3E5	PTRH2	0.00161730438283431	21540.984781901	1418.87741088867	3.9232459255063	0.00205953027260794
P20674	COX5A	0.00162794493100554	9968.40804036458	3727.19877115885	1.41888434371971	0.0020721328303704
Q5TKA1	LIN9	0.0016644915202466	1879.16003417969	221.853830973307	3.07591826871535	0.00211768336404147
O14617	AP3D1	0.00166639011913128	12402.3801269531	1104.86729176839	3.48736684093516	0.00211913081359845
Q99584	S100A13	0.00167486813266284	4152.83167521159	518.620941162109	2.99856391796612	0.00212894009560293
Q3ZCQ8	TIMM50	0.0017572478456764	10391.9497070313	3611.53995768229	1.52438090362048	0.00223263469443831
O60341	KDM1A	0.00178764260730076	7049.24141438802	3003.4180094401	1.23038246275934	0.00227021644383613
Q8TCT9	HM13	0.00181534851711061	6333.06461588542	2251.16329956055	1.49159236126072	0.002304350784026
Q6YN16	HSDL2	0.00184341882902545	3110.3408610026	0.472415745258331	11.0446718956931	0.00233891637304595
Q6DCA0	AMMECR1L	0.00188548391888315	3130.36330159505	1073.34669494629	1.5428704716672	0.0023911988679825
O75607	NPM3	0.001910321212186	3610.96761067708	1259.58057657878	1.51829714127424	0.00242159516428675
Q9GZR1	SENP6	0.00193499964931475	7258.12068684896	1319.98877461751	2.45797783888541	0.00245176252199343
Q96KP1	EXOC2	0.00195233795010593	3796.32836914063	1117.98103841146	1.76241919636933	0.00247260627150751
O43776	NARS1	0.00196572688700856	13634.2508138021	2039.39771525065	2.74031313252604	0.00248843153650856
Q643R3	LPCAT4	0.00198174604551274	3269.79368082682	197.410260518392	4.04264106686931	0.00250757053010131
Q9Y2X3	NOP58	0.00201693863357039	11500.9386393229	2638.12565104167	2.12361966493963	0.00255094191393893
O95229	ZWINT	0.00202286677157398	7062.97810872396	1580.33467610677	2.1591338907499	0.00255727823823583
Q6P1K2	PMF1	0.00203168594709012	1887.19806925456	149.233123779297	3.65097100561544	0.00256726196127313
P61587	RND3	0.00203477442996134	3178.12410481771	92.6940002441406	5.08407498544805	0.00256999854305775
O43516	WIPF1	0.00206298175546249	2054.89581298828	99.832509358724	4.34903249092596	0.00260444432863238
O95218	ZRANB2	0.00206905260764259	3445.12662760417	1263.41942850749	1.44608190265064	0.00261092501689379
P04216	THY1	0.00208072360150894	5862.04618326823	2964.55297851563	0.983103188896867	0.00262446341947573
