Protein_Group	Genes	P_value	treatment_estimate	control_estimate	log2FC	p.adj
Q15631	TSN	1.45750792273291e-07	44950.7337239583	292.81483968099	7.25729359078789	5.46124099177444e-07
Q96N67	DOCK7	1.46260079915907e-07	2663.27646891276	290.837139129639	3.18996680224041	5.47295782911137e-07
P39656	DDOST	1.47396859281814e-07	269179.580729167	28220.8969726563	3.25368210597366	5.50070852869396e-07
Q03468	ERCC6	1.47292226945519e-07	3828.04252115885	182.9111328125	4.37952613598623	5.50070852869396e-07
O43678	NDUFA2	1.48645369927408e-07	6696.46175130208	322.911209106445	4.36972871238157	5.52760441629525e-07
Q96IZ7	RSRC1	1.48403540722333e-07	2291.23596191406	236.717333475749	3.26880703334178	5.52760441629525e-07
Q9H7E9	C8orf33	1.487132078953e-07	5712.14070638021	1940.05926513672	1.55718734989356	5.52760441629525e-07
Q92600	CNOT9	1.50973131345195e-07	3337.87862141927	239.045827229818	3.7975497308708	5.60412263553364e-07
Q02978	SLC25A11	1.5422391910121e-07	16835.9251302083	3629.99456787109	2.21310632218734	5.71716898505683e-07
Q9BXK1	KLF16	1.55269300721397e-07	10337.7425130208	677.705378214518	3.92899191832908	5.74826772883469e-07
Q13084	MRPL28	1.56922090355564e-07	6018.04402669271	725.127670288086	3.05099952586393	5.80174102987903e-07
Q12904	AIMP1	1.58122130327108e-07	171256.768229167	2051.57822672526	6.38257998939898	5.83062266000884e-07
Q9UGR2	ZC3H7B	1.58103973797025e-07	60326.599609375	1700.96680704753	5.14751945923451	5.83062266000884e-07
P49591	SARS1	1.61220253380005e-07	6987.66064453125	508.66506054004	3.77718818596142	5.93699980700972e-07
Q969N2	PIGT	1.62189264928331e-07	3823.59936523438	173.496248881022	4.45366343790885	5.94907659499964e-07
Q96PV6	LENG8	1.6194703434881e-07	4939.49711100261	258.967646280925	4.2479601768527	5.94907659499964e-07
Q9P2N5	RBM27	1.62102624265479e-07	101893.622395833	4606.95638020833	4.46679288463667	5.94907659499964e-07
O43513	MED7	1.6303375955464e-07	25948.5172526042	260.760264078776	6.63126218352092	5.97218403421208e-07
Q6ZSJ8	C1orf122	1.6353266408296e-07	54444.8697916667	2866.52058919271	4.24692036354389	5.98258786868544e-07
A6NHR9	SMCHD1	1.64471457940388e-07	11003.2651367188	1465.22157796224	2.90775664860498	6.0079651171189e-07
P46821	MAP1B	1.64657952024487e-07	56170.9837239583	2138.36759440104	4.71456877074761	6.0079651171189e-07
Q8IZH2	XRN1	1.66054571297285e-07	6225.32307942708	923.773406982422	2.75097689451211	6.05099380224662e-07
Q14558	PRPSAP1	1.66764542183813e-07	3237.29992675781	140.394653320313	4.516991560986	6.06619398406152e-07
Q96CX2	KCTD12	1.66907492521233e-07	77121.1432291667	766.653549194336	6.65052727464349	6.06619398406152e-07
Q9H000	MKRN2	1.67406610911516e-07	16055.1341145833	195.654065450033	6.35123089468953	6.07640162682739e-07
Q9NRA8	EIF4ENIF1	1.6776544776193e-07	9246.86751302083	2582.82916259766	1.83945403299551	6.08149748136995e-07
Q96EE3	SEH1L	1.70421352968096e-07	9631.77294921875	1087.61895751953	3.14530231880349	6.16172787874258e-07
Q96SK2	TMEM209	1.70295251701887e-07	4140.85575358073	519.234242757162	2.99269567909135	6.16172787874258e-07
P17661	DES	1.72365177763238e-07	22197.6240234375	4929.64408365886	2.17055724106112	6.22392548499161e-07
Q9Y6K5	OAS3	1.72828440388597e-07	32575.2867838542	560.797826131185	5.85758302772702	6.23256966375457e-07
Q13263	TRIM28	1.73391149562555e-07	9617.26595052083	1334.93950398763	2.84777213595358	6.24477309679372e-07
Q9H8H0	NOL11	1.74179861208037e-07	8653.02612304688	584.462432861328	3.88555625213237	6.26507407756039e-07
O75955	FLOT1	1.75944989390703e-07	8706.36930338542	2564.88779703776	1.76261313248613	6.31545310250148e-07
Q03111	MLLT1	1.76129251049831e-07	24920.6839192708	2953.96615600586	3.07613014994818	6.31545310250148e-07
Q13123	IK	1.76406573150131e-07	175420.692708333	7179.90698242188	4.61050905384332	6.31545310250148e-07
Q96PU8	QKI	1.76487877648928e-07	13507.1223958333	511.77756245931	4.71924340490275	6.31545310250148e-07
O00566	MPHOSPH10	1.77069094741062e-07	5799.49877929688	339.036397298177	4.09216713597342	6.32000461229636e-07
P60602	ROMO1	1.76988943357621e-07	4362.55261230469	581.56748453776	2.90467544414674	6.32000461229636e-07
Q8IY37	DHX37	1.79078010401146e-07	10569.7822265625	1332.44123331706	2.98671950285935	6.38352344374894e-07
Q14197	MRPL58	1.82407586609014e-07	15248.8666992188	2087.84652201335	2.86792362568887	6.49389668950762e-07
Q92974	ARHGEF2	1.83448250390839e-07	11052.9124348958	269.233090718587	5.35407841154418	6.52260445834096e-07
Q15032	R3HDM1	1.84298794779613e-07	4317.11678059896	339.294695536296	3.66521155102106	6.54448781462298e-07
Q14683	SMC1A	1.85444571026863e-07	43052.1744791667	1623.36928304036	4.72813455084042	6.57419031464817e-07
Q9Y421	FAM32A	1.85607528279937e-07	5590.29109700521	520.221549193064	3.42295477236958	6.57419031464817e-07
O43432	EIF4G3	1.86251218423679e-07	40526.33984375	1931.79642740885	4.39009828535291	6.58024609253199e-07
Q9NPJ6	MED4	1.86237974584322e-07	8609.27294921875	681.006490071615	3.65803403423834	6.58024609253199e-07
Q9BVC6	TMEM109	1.8833555384849e-07	13195.7540690104	1896.58208211263	2.79783959802091	6.64545224225852e-07
P19447	ERCC3	1.89038013928906e-07	4298.16788736979	55.0102030436198	6.26188836738703	6.66179532630474e-07
Q86V81	ALYREF	1.92267227763314e-07	165433.6484375	5475.93570963542	4.91673994605591	6.76702859788959e-07
O60244	MED14	1.94989626127006e-07	9654.24755859375	174.820337931315	5.7789899532096	6.85418079719171e-07
Q9H2D6	TRIOBP	1.96528955677091e-07	47725.306640625	15804.4475911458	1.59433257594347	6.8995789735816e-07
Q9HBD1	RC3H2	1.98182028763333e-07	5706.08146158854	608.902943929037	3.22584875862713	6.94772207430756e-07
